,operation,one,two
0,DEL,افاء,
1,DEL,لله,
2,DEL,عليهم,
3,DEL,منحهم,
4,DEL,الغنيمة,
5,DEL,اكبر,
6,DEL,من,
7,DEL,طفلة,
8,DEL,واصغر,
9,DEL,من,
10,DEL,شابة,
11,DEL,والخز,
12,DEL,الحرير,
13,DEL,الروب,
14,DEL,المطرف,
15,DEL,ثوب,
16,DEL,منزلي,
17,DEL,وهو,
18,SUB,ما,ا
19,DEL,نسميه,
20,DEL,في,
21,DEL,شعر,
22,DEL,راسها,
23,DEL,جوهرة,
24,DEL,تزينه,
25,SUB,الفصل,الة
26,INS,,٤
27,INS,,ـ
28,DEL,الرابع,
29,DEL,ويك,
30,DEL,مسلمة,
31,SUB,ثبتت,ثبثت
32,INS,,د
33,SUB,دعائم,عام
34,SUB,العرش,الهرش
35,SUB,لبني,لبى
36,OK,مروان,مروان
37,INS,,و
38,INS,,ن
39,SUB,ولم,لم
40,INS,,٤
41,DEL,يكن,
42,OK,الخليفة,الخليفة
43,SUB,عبد,عمد
44,OK,الملك,الملك
45,SUB,في,فى
46,OK,غفلة,غفلة
47,OK,عما,عما
48,SUB,يقتضيه,يقتضمه
49,OK,هذا,هذا
50,SUB,العرش,الحرش
51,OK,من,من
52,OK,حق,حق
53,SUB,التدبير,التددير
54,SUB,في,فى
55,OK,حياته,حياته
56,INS,,و
57,SUB,وبعد,اعد
58,OK,موته,موته
59,SUB,فانه,وابه
60,SUB,ليخشى,لي
61,INS,,حسى
62,OK,ان,ان
63,OK,يتواثب,يتواثب
64,SUB,اليه,المه
65,OK,الطامعون,الطامعون
66,OK,من,من
67,SUB,السفيانية,السفمانية
68,OK,او,او
69,OK,الهاشمية,الهاشمية
70,OK,بعد,بعد
71,OK,موته,موته
72,OK,وقد,وقد
73,OK,خلف,خلف
74,SUB,عبد,عمد
75,OK,الملك,الملك
76,OK,بضعة,بضعة
77,OK,عشر,عشر
78,OK,ولدا,ولدا
79,SUB,كلهم,كاهم
80,OK,لاب,لاب
81,SUB,ولكن,واركن
82,SUB,امهاتهم,امهام
83,SUB,شتى,شى
84,DEL,منهن,
85,SUB,العبسية,العيسية
86,OK,والمخزومية,والمخزومية
87,SUB,والهاشمية,والهاشممة
88,INS,,و
89,SUB,والسفيانية,الفانية
90,SUB,ومنهن,ومهن
91,OK,امهات,امهات
92,INS,,مسن
93,OK,اولاد,اولاد
94,OK,من,من
95,SUB,الترك,البرك
96,SUB,والسودان,والودان
97,OK,والروم,والروم
98,OK,وبنات,وبنات
99,OK,كسرى,كسرى
100,SUB,فما,فا
101,OK,احرى,احرى
102,OK,كل,كل
103,OK,واحدة,واحدة
104,SUB,من,ن
105,OK,هؤلاء,هؤلاء
106,SUB,الضرائر,الضرار
107,OK,ان,ان
108,SUB,ترجى,بر
109,INS,,ى
110,OK,العرش,العرش
111,OK,لولدها,لولدها
112,OK,وان,وان
113,SUB,ينفخ,ينه
114,SUB,فيه,فبه
115,SUB,اخواله,اواله
116,OK,من,من
117,SUB,روح,دو
118,SUB,العصبية,الهصدسة
119,OK,ما,ما
120,SUB,يدفعه,بدفعه
121,OK,الى,الى
122,OK,الفتنة,الفتنة
123,SUB,لقد,اقد
124,SUB,كان,ان
125,SUB,عبد,عيد
126,SUB,الملك,املك
127,SUB,شيخا,شمخا
128,OK,من,من
129,OK,اهل,اهل
130,SUB,الراي,الراى
131,OK,قبل,قبل
132,OK,ان,ان
133,SUB,يلي,يل
134,OK,هذا,هذا
135,SUB,الامر,الام
136,OK,وكانوا,وكانوا
137,OK,يسمونه,يسمونه
138,OK,فقيه,فقيه
139,SUB,بني,ونى
140,OK,مروان,مروان
141,SUB,لصلاحه,اصلاه
142,INS,,و
143,SUB,وعلمه,علمه
144,OK,وطول,وطول
145,OK,ملازمته,ملازمته
146,OK,لاهل,لاهل
147,OK,الحديث,الحديث
148,SUB,وحملة,وملة
149,OK,القران,القران
150,SUB,واصحاب,واميحاب
151,SUB,الراي,الراى
152,OK,من,من
153,SUB,العباد,العياد
154,SUB,والصالحين,والصا
155,INS,,لحين
156,INS,,و
157,SUB,واهل,اهل
158,OK,التحرج,التحرج
159,SUB,فما,فا
160,OK,كان,كان
161,OK,اجدر,اجدر
162,OK,شيخا,شيخا
163,OK,هذا,هذا
164,SUB,مكانه,مكاه
165,SUB,ان,ار
166,SUB,يترك,يبرك
167,SUB,امر,اص
168,SUB,المسلمين,المسلءين
169,SUB,شورى,ورى
170,SUB,بينهم,بيهم
171,SUB,يختارون,ختارون
172,SUB,بعده,ادده
173,OK,من,من
174,SUB,يشاءون,يءاء
175,INS,,و
176,INS,,ن
177,SUB,ليلي,اول
178,SUB,امرهم,امرمء
179,OK,لولا,لولا
180,SUB,انه,ايه
181,SUB,يخشى,بخشى
182,OK,عليهم,عليهم
183,SUB,الفتنة,الفنه
184,OK,فليول,فليول
185,SUB,عهده,عوده
186,OK,رجلا,رجلا
187,OK,من,من
188,OK,اهل,اهل
189,OK,هذا,هذا
190,SUB,البيت,الـيت
191,SUB,المرواني,المرواى
192,OK,ينهض,ينهض
193,OK,بامر,بامر
194,OK,الدولة,الدولة
195,OK,من,من
