,operation,one,two
0,INS,,اتذ
1,SUB,اتذكرانه,كرانه
2,SUB,كما,ا
3,SUB,يذكرهما,بذكرهما
4,INS,,وبذ
5,SUB,ويذكرهما,كرهما
6,OK,معه,معه
7,OK,الاخوة,الاخوة
8,SUB,والاخوات,والاحوات
9,OK,وبنو,وبنو
10,SUB,الاعمام,الاعام
11,SUB,والعمات,والعات
12,OK,ام,ام
13,SUB,استبدلتا,استدلتا
14,SUB,في,فى
15,OK,العرب,العرب
16,OK,اهلا,اهلا
17,OK,باهل,باهل
18,OK,وباعتا,وباعتا
19,SUB,بالسيد,بالسد
20,OK,والولد,والولد
21,SUB,الاب,الا
22,SUB,والام,الا
23,SUB,والاخوة,الالا
24,INS,,ر
25,INS,,مو
26,INS,,حدء
27,SUB,والاخوات,والاسوا
28,INS,,عل
29,INS,,ظهر
30,DEL,في,
31,SUB,اي,اى
32,OK,البلاد,البلاد
33,OK,تعيشان,تعيشان
34,OK,او,او
35,SUB,في,فى
36,INS,,بطن
37,SUB,اي,اى
38,OK,الارض,الارض
39,INS,,قد
40,SUB,سوي,سوى
41,SUB,عليهما,علهما
42,OK,التراب,التراب
43,SUB,ابنتا,ابذتا
44,SUB,البطريق,المطر
45,INS,,يق
46,OK,المعظم,المعظم
47,SUB,جاريتان,جار
48,SUB,قد,يتانقد
49,OK,انقطعت,انقطعت
50,SUB,بينه,بينهو
51,DEL,وبينهما,
52,SUB,الاسباب,بينهماالاسبان
53,DEL,فيا,
54,SUB,له,ياله
55,OK,من,من
56,SUB,الفجيعة,الجعة
57,OK,في,في
58,SUB,ابنتيه,اذتهه
59,SUB,ويا,و
60,SUB,له,اله
61,OK,من,من
62,SUB,بذاءة,ذاءة
63,OK,بعض,بعض
64,SUB,قومه,وومه
65,OK,قال,قال
66,SUB,انسطاثيوس,انسطاثيومس
67,SUB,الصالح,الماع
68,SUB,هون,هر
69,INS,,ن
70,OK,عليك,عليك
71,DEL,يا,
72,SUB,قسطنطين,اقهطنطين
73,OK,فقد,فقد
74,SUB,علم,عل
75,SUB,ولله,والله
76,OK,كل,كل
77,SUB,رومي,روى
78,SUB,في,فى
79,OK,هذه,هذه
80,OK,البلاد,البلاد
81,OK,بلاءك,بلاءك
82,SUB,في,فى
83,SUB,جهاد,وساد
84,INS,,هؤلاء
85,SUB,العرب,الهرب
86,OK,فلا,فلا
87,SUB,عليك,علرك
88,OK,من,من
89,OK,قول,قول
90,OK,لم,لم
91,SUB,تحمل,مل
92,OK,عليه,عليه
93,OK,الا,الا
94,OK,الغيرة,الغيرة
95,INS,,و
96,SUB,وبويع,بو
97,INS,,يع
98,OK,انسطاثيوس,انسطاثيوس
99,OK,قيصرا,قيصرا
100,OK,فراح,فراح
101,SUB,يحاول,حاول
102,OK,ما,ما
103,SUB,يحاول,حاول
104,SUB,لتدبير,لندبير
105,SUB,امر,ار
106,OK,البلاد,البلاد
107,INS,,و
108,SUB,وتنظيم,تنهاه
109,SUB,قوات,توات
110,OK,الدفاع,الدفاع
111,OK,ولكن,ولكن
112,SUB,غارات,غا
113,INS,,١
114,INS,,١١٩
115,SUB,العرب,ر
116,INS,,ر
117,INS,,ر
118,INS,,ف
119,OK,المتتابعة,المتتابعة
120,SUB,لم,لمم
121,OK,تدع,تدع
122,OK,له,له
123,SUB,فرصة,فرهة
124,OK,للتدبير,للتدبير
125,OK,ولا,ولا
126,SUB,لتنظيم,لتزا
127,OK,قوات,قوات
128,OK,الدفاع,الدفاع
129,OK,فنالوا,فنالوا
130,OK,منه,منه
131,DEL,ولم,
132,DEL,ينل,
133,SUB,منهم,ولملمنهم
134,INS,,و
135,SUB,وتوالت,والت
136,SUB,هزائمه,هزابمه
137,SUB,في,فى
138,OK,البر,البر
139,SUB,والبحر,والبجر
140,SUB,فاعتزل,فاعزل
141,OK,العرش,العرش
142,OK,الى,الى
143,SUB,بعض,بهض
144,SUB,الاديار,الادبار
145,OK,حزينا,حزينا
146,OK,اسوان,اسوان
147,OK,يلتمس,يلتمس
148,SUB,في,فى
149,OK,الصلاة,الصلاة
150,SUB,والدعاء,والدعاه
151,SUB,بعض,بهض
152,SUB,السلوان,الساوان
153,SUB,ووثب,وونب
154,OK,الى,الى
155,SUB,العرش,المرش
156,SUB,سوقي,وق
157,SUB,اخر,اشر
158,OK,كان,كان
159,OK,جابيا,جابيا
160,OK,للخراج,للخراج
161,SUB,في,فى
162,SUB,بعض,لعض
163,SUB,الاقاليم,الاقالم
164,SUB,فلم,فظ
165,SUB,تكن,تـكن
166,OK,حال,حال
167,OK,البلاد,البلاد
168,SUB,في,فى
169,OK,عهده,عهده
170,OK,خيرا,خيرا
171,OK,منها,منها
172,SUB,في,فى
173,OK,عهد,عهد
174,OK,اسلافه,اسلافه
175,OK,واضطرب,واضطرب
176,OK,به,به
177,SUB,الامر,الام
178,OK,واحاطت,واحاطت
179,SUB,به,ه
180,OK,الاحداث,الاحداث
181,INS,,٨٥
