,operation,one,two
0,SUB,فماذا,فاذا
1,SUB,كنت,كات
2,OK,تريدين,تريدين
3,OK,ان,ان
4,OK,اقول,اقول
5,OK,اذن,اذن
6,OK,لا,لا
7,SUB,شيء,ثىء
8,INS,,و
9,SUB,ولكن,لكن
10,OK,كل,كل
11,SUB,مسئول,ممرل
12,SUB,لا,لايد
13,DEL,بد,
14,OK,ان,ان
15,SUB,يجيب,جيب
16,SUB,قالت,والت
17,SUB,وقد,وود
18,SUB,شرعت,رعت
19,SUB,عينيها,مذها
20,SUB,وبرق,و
21,INS,,رى
22,SUB,فيهما,وهما
23,SUB,بريق,يري
24,INS,,مت
25,DEL,عجيب,
26,OK,قل,قل
27,OK,انك,انك
28,SUB,ولدتني,ولدتى
29,OK,ولادة,ولادة
30,OK,ثانية,ثانية
31,SUB,ثم,م
32,SUB,اتخذتني,اخذتن
33,OK,زوجا,زوجا
34,SUB,واذن,ولاذن
35,OK,فانا,فانا
36,OK,ابوك,ابوك
37,SUB,وزوجك,وزرجك
38,SUB,نعم,ام
39,OK,ولكنك,ولكنك
40,OK,انت,انت
41,SUB,ولدتيني,ولدتيى
42,SUB,كذلك,كذك
43,SUB,ثم,م
44,OK,ولدت,ولدت
45,SUB,لي,ل
46,INS,,هدد
47,OK,اذن,اذن
48,OK,فانا,فانا
49,SUB,امك,ا
50,INS,,ك
51,SUB,وزوجك,جك
52,SUB,نعم,ع
53,OK,وامك,وامك
54,OK,ان,ان
55,SUB,لكل,لكلى
56,SUB,رجل,دجل
57,OK,امين,امين
58,OK,وابوين,وابوين
59,INS,,ا
60,SUB,ولكل,ولسكل
61,SUB,امراة,اماة
62,INS,,ا
63,SUB,فمن,فن
64,OK,امك,امك
65,OK,الثانية,الثانية
66,OK,اذن,اذن
67,DEL,بنو,
68,DEL,الاصفر,
69,DEL,الروم,
70,DEL,وهكذا,
71,DEL,كان,
72,DEL,العرب,
73,DEL,يسمونهم,
74,DEL,بنت,
75,DEL,قسطنطين,
76,OK,امك,امك
77,SUB,ولكنك,ولسكنك
78,OK,تكرهينها,تكرهينها
79,DEL,يا,
80,SUB,سبيكة,اسيكة
81,SUB,فيما,فيا
82,OK,ارى,ارى
83,INS,,ا
84,SUB,بل,ال
85,INS,,مى
86,DEL,هي,
87,SUB,تكرهني,نكرهن
88,OK,وهل,وهل
89,OK,تكره,تكره
90,OK,الام,الام
91,SUB,ابنتها,ابغتها
92,SUB,نعم,نه
93,OK,حين,حين
94,OK,تكون,تكون
95,OK,كنة,كنة
96,OK,لها,لها
97,SUB,فتغلبها,فتغلها
98,SUB,على,عل
99,OK,امومة,امومة
100,OK,ولدها,ولدها
101,SUB,فهل,فول
102,INS,,اى
103,SUB,ايقنت,يقنت
104,OK,اذن,اذن
105,OK,انك,انك
106,OK,قد,قد
107,SUB,غلبتيها,غلتها
108,SUB,على,عل
109,SUB,امومتي,امومى
