,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,INS,,و
3,SUB,والمخالب,المخالب
4,OK,ولا,ولا
5,SUB,جناحا,جناح
6,SUB,يهرب,ايهرب
7,OK,به,به
8,OK,عن,عن
9,OK,الاعداء,الاعداء
10,OK,كما,كما
11,OK,للطير,للطير
12,OK,ولا,ولا
13,OK,قوة,قوة
14,OK,المشي,المشي
15,INS,,و
16,SUB,والجري,الجري
17,OK,في,في
18,OK,الماء,الماء
19,OK,كما,كما
20,OK,للحيتان,للحيتان
21,OK,ولا,ولا
22,OK,الكفاية,الكفاية
23,OK,في,في
24,OK,لباسهم,لباسهم
25,OK,كما,كما
26,OK,في,في
27,OK,سائر,سائر
28,OK,الحيوان,الحيوان
29,DEL,حيث,
30,OK,اغناها,اغناها
31,OK,عن,عن
32,OK,كثير,كثير
33,OK,ما,ما
34,OK,يفتقر,يفتقر
35,OK,اليه,اليه
36,OK,الناس,الناس
37,OK,ولاجل,ولاجل
38,OK,ذلك,ذلك
39,OK,قال,قال
40,SUB,تعالى,تعالي
41,OK,خلق,خلق
42,OK,الانسان,الانسان
43,OK,ضعيفا,ضعيفا
44,OK,وذلك,وذلك
45,OK,الظن,الظن
46,OK,صحيح,صحيح
47,OK,من,من
48,OK,وجه,وجه
49,OK,فاسد,فاسد
50,OK,من,من
51,OK,وجه,وجه
52,OK,اما,اما
53,OK,وجه,وجه
54,OK,صحته,صحته
55,OK,فلما,فلما
56,OK,اشرنا,اشرنا
57,OK,اليه,اليه
58,OK,من,من
59,OK,ان,ان
60,OK,فعلية,فعلية
61,OK,الوجود,الوجود
62,OK,وتاكد,وتاكد
63,OK,الصورة,الصورة
64,OK,يمنع,يمنع
65,OK,عن,عن
66,OK,قبول,قبول
67,OK,الكمال,الكمال
68,SUB,الاعلى,الاعلي
69,OK,والفضيلة,والفضيلة
70,OK,القصوى,القصوى
71,OK,واما,واما
72,OK,وجه,وجه
73,OK,فساده,فساده
74,OK,فلما,فلما
75,OK,زعموا,زعموا
76,OK,ان,ان
77,OK,ذلك,ذلك
78,OK,تمام,تمام
79,OK,صورة,صورة
80,OK,الانسان,الانسان
81,OK,ولم,ولم
82,OK,يعلموا,يعلموا
83,OK,ان,ان
84,OK,ذلك,ذلك
85,OK,ابتداء,ابتداء
86,OK,خلقته,خلقته
87,OK,ومادة,ومادة
88,OK,نشوه,نشوه
89,OK,وكماله,وكماله
90,SUB,كالحبة,كالحية
91,INS,,ب
92,SUB,بالقياس,القياس
93,OK,الى,الى
94,OK,الشجرة,الشجرة
95,OK,والنطفة,والنطفة
96,OK,بالقياس,بالقياس
97,OK,الى,الى
98,OK,الحيوان,الحيوان
99,OK,ولو,ولو
100,OK,كانت,كانت
101,SUB,للحبة,للحية
102,OK,صلابة,صلابة
103,OK,الحجر,الحجر
104,SUB,لم,له
105,OK,يمكن,يمكن
106,SUB,وصولها,وصالها
107,OK,الى,الى
108,OK,غاية,غاية
109,SUB,النمو,التما
110,OK,ولو,ولو
111,OK,كانت,كانت
112,OK,للنطفة,للنطفة
113,OK,قوة,قوة
114,OK,الشجرية,الشجرية
115,OK,استحال,استحال
116,OK,ان,ان
117,OK,يصل,يصل
118,OK,الى,الى
119,OK,قبول,قبول
120,OK,الحياة,الحياة
121,OK,فلو,فلو
122,OK,لم,لم
123,OK,يكن,يكن
124,OK,في,في
125,OK,الانسان,الانسان
126,OK,بحسب,بحسب
127,OK,اول,اول
128,OK,الفطرة,الفطرة
129,OK,الخلو,الخلو
130,OK,عن,عن
131,OK,كل,كل
132,OK,فضيلة,فضيلة
133,OK,وعلم,وعلم
134,OK,لما,لما
135,OK,كان,كان
136,OK,في,في
137,OK,جوهر,جوهر
138,OK,ذاته,ذاته
139,OK,صلوح,صلوح
140,OK,كل,كل
141,OK,فضيلة,فضيلة
142,OK,وعلم,وعلم
143,OK,ولاجل,ولاجل
144,OK,التنبيه,التنبيه
145,OK,على,على
146,OK,ذلك,ذلك
147,OK,قال,قال
148,OK,تعالى,تعالى
149,OK,والله,والله
150,OK,اخرجكم,اخرجكم
151,OK,من,من
152,OK,بطون,بطون
153,OK,امهاتكم,امهاتكم
154,OK,لا,لا
155,OK,تعلمون,تعلمون
156,OK,شيئا,شيئا
157,OK,وجعل,وجعل
158,OK,لكم,لكم
159,OK,السمع,السمع
160,OK,والابصار,والابصار
