,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,SUB,اخفي,اخفى
3,OK,لهم,لهم
4,OK,من,من
5,OK,قرة,قرة
6,OK,اعين,اعين
7,OK,جزاء,جزاء
8,OK,بما,بما
9,OK,كانوا,كانوا
10,OK,يعملون,يعملون
11,OK,وادراكها,وادراكها
12,OK,متوقف,متوقف
13,OK,على,على
14,SUB,نزعها,تزعها
15,OK,من,من
16,OK,القشور,القشور
17,OK,واخراجها,واخراجها
18,OK,عن,عن
19,OK,موادها,موادها
20,OK,التي,التي
21,OK,هي,هي
22,OK,كالقبور,كالقبور
23,OK,كلا,كلا
24,OK,انها,انها
25,OK,تذكرة,تذكرة
26,OK,فمن,فمن
27,OK,شاء,شاء
28,OK,ذكره,ذكره
29,DEL,و,
30,SUB,انما,وانما
31,OK,يتذكر,يتذكر
32,OK,اولوا,اولوا
33,OK,الالباب,الالباب
34,OK,والابصار,والابصار
35,OK,فمن,فمن
36,OK,نظر,نظر
37,OK,اعتبر,اعتبر
38,OK,ومن,ومن
39,OK,اعتبر,اعتبر
40,SUB,عبر,بر
41,OK,واما,واما
42,OK,وساوس,وساوس
43,OK,العادة,العادة
44,OK,فهي,فهي
45,OK,تسويلات,تسويلات
46,OK,النفس,النفس
47,OK,الامارة,الامارة
48,OK,بالسوء,بالسوء
49,OK,وتزيينها,وتزيينها
50,OK,الاعمال,الاعمال
51,OK,الغير,الغير
52,OK,الصالحة,الصالحة
53,SUB,وترويجها,وترويجه
54,SUB,الاعتقادات,االاعتقادات
55,OK,الكاسدة,الكاسدة
56,OK,وتصويرها,وتصويرها
57,OK,الاراء,الاراء
58,OK,الفاسدة,الفاسدة
59,OK,بصورة,بصورة
60,OK,الحق,الحق
61,SUB,ومنشؤها,ومنشاها
62,OK,قوة,قوة
63,OK,الخيال,الخيال
64,OK,والوهم,والوهم
65,OK,كما,كما
66,OK,ان,ان
67,OK,منشا,منشا
68,OK,القسم,القسم
69,SUB,الاول,الا
70,SUB,قوة,ولقوة
71,OK,الطبع,الطبع
72,OK,والحس,والحس
73,OK,قل,قل
74,OK,هل,هل
75,OK,ننبئكم,ننبئكم
76,OK,بالاخسرين,بالاخسرين
77,OK,اعمالا,اعمالا
78,OK,الذين,الذين
79,OK,ضل,ضل
80,OK,سعيهم,سعيهم
81,OK,في,في
82,OK,الحياة,الحياة
83,OK,الدنيا,الدنيا
84,OK,وهم,وهم
85,OK,يحسبون,يحسبون
86,OK,انهم,انهم
87,OK,يحسنون,يحسنون
88,OK,صنعا,صنعا
89,OK,واما,واما
90,SUB,نواميس,توا
91,INS,,مس
92,OK,الامثلة,الامثلة
93,OK,فهي,فهي
94,OK,كمتابعة,كمتابعة
95,OK,اهل,اهل
96,OK,الضلال,الضلال
97,OK,وتقليد,وتقليد
98,OK,المشهورين,المشهورين
99,OK,بالفضل,بالفضل
100,OK,والدراية,والدراية
101,OK,واستهواء,واستهواء
102,OK,الشياطين,الشياطين
103,OK,من,من
104,OK,الانس,الانس
105,OK,اعني,اعني
106,OK,علماء,علماء
107,OK,السوء,السوء
108,INS,,و
109,SUB,واجابة,اجابة
110,OK,دعوتهم,دعوتهم
111,OK,وتتبع,وتتبع
112,OK,ارائهم,ارائهم
113,OK,الفاسدة,الفاسدة
114,OK,واقتفاء,واقتفاء
115,OK,اثارهم,اثارهم
116,SUB,المغوية,الم
117,INS,,غاية
118,OK,المضلة,المضلة
119,OK,قوله,قوله
120,SUB,تعالى,تعالي
121,SUB,وان,وانتطع
122,DEL,تطع,
123,OK,اكثر,اكثر
124,OK,من,من
125,SUB,في,فى
126,OK,الارض,الارض
127,OK,يضلوك,يضلوك
128,OK,عن,عن
129,OK,سبيل,سبيل
130,OK,الله,الله
131,OK,ان,ان
132,OK,يتبعون,يتبعون
133,OK,الا,الا
134,OK,الظن,الظن
135,OK,وان,وان
136,OK,هم,هم
137,OK,الا,الا
138,OK,يخرصون,يخرصون
139,OK,ان,ان
140,OK,الظن,الظن
141,OK,لا,لا
142,OK,يغني,يغني
143,OK,من,من
144,OK,الحق,الحق
145,OK,شيئا,شيئا
146,DEL,و,
147,SUB,قال,وقالوا
148,DEL,الذين,
149,DEL,كفروا,
150,OK,ربنا,ربنا
151,OK,ارنا,ارنا
152,SUB,الذين,اللذين
153,OK,اضلانا,اضلانا
154,OK,من,من
155,OK,الجن,الجن
