,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,OK,انما,انما
3,OK,الدنيا,الدنيا
4,OK,كرؤيا,كرؤيا
5,SUB,افرحت,اقرحتوناها
6,DEL,من,
7,DEL,راها,
8,OK,ساعة,ساعة
9,OK,ثم,ثم
10,OK,انقضت,انقضت
11,OK,قاعدة,قاعدة
12,OK,في,في
13,SUB,تحقيق,حقيق
14,SUB,قوله,قولة
15,SUB,تعالى,تعالي
16,OK,انك,انك
17,OK,ميت,ميت
18,OK,وانهم,وانهم
19,OK,ميتون,ميتون
20,OK,وبيان,وبيان
21,OK,ان,ان
22,OK,الموت,الموت
23,OK,حق,حق
24,OK,اعلم,اعلم
25,OK,ان,ان
26,OK,من,من
27,OK,الحكمة,الحكمة
28,OK,البالغة,البالغة
29,OK,والنعمة,والنعمة
30,OK,السابغة,السابغة
31,OK,ان,ان
32,OK,الله,الله
33,OK,تعالى,تعالى
34,OK,قد,قد
35,OK,جمع,جمع
36,OK,في,في
37,OK,طينة,طينة
38,OK,الانسان,الانسان
39,OK,ما,ما
40,SUB,افرد,افردية
41,DEL,به,
42,OK,الملائكة,الملائكة
43,OK,المقربين,المقربين
44,OK,وما,وما
45,SUB,افرد,افردية
46,DEL,به,
47,OK,الحيوانات,الحيوانات
48,OK,المبعدين,المبعدين
49,OK,فافرد,فافرد
50,OK,الملك,الملك
51,SUB,بروح,يروح
52,OK,علوي,علوي
53,OK,باق,باق
54,OK,وافرد,وافرد
55,OK,الحيوانات,الحيوانات
56,SUB,بروح,بر
57,SUB,سفلي,وحسقلى
58,OK,فان,فان
59,SUB,وخص,وخمص
60,OK,الانسان,الانسان
61,OK,بمعجون,بمعجون
62,OK,مركب,مركب
63,OK,من,من
64,OK,الروحين,الروحين
65,INS,,ف
66,SUB,فان,ان
67,OK,حيواني,حيواني
68,OK,وباق,وباق
69,SUB,ملكي,ملكى
70,OK,اتحدا,اتحدا
71,OK,ذاتا,ذاتا
72,OK,احدية,احدية
73,OK,كما,كما
74,OK,بين,بين
75,OK,في,في
76,OK,موضعه,موضعه
77,OK,فالحكمة,فالحكمة
78,OK,في,في
79,OK,ذلك,ذلك
80,OK,ان,ان
81,OK,الروح,الروح
82,OK,الملكي,الملكي
83,DEL,غير,
84,OK,مستحيل,مستحيل
85,OK,ولا,ولا
86,OK,نام,نام
87,OK,ولا,ولا
88,OK,متغذ,متغذ
89,OK,وانما,وانما
90,SUB,غذاؤه,غذائه
91,OK,التسبيح,التسبيح
92,OK,والتقديس,والتقديس
93,OK,وهو,وهو
94,OK,بمثابة,بمثابة
95,OK,التنفس,التنفس
96,OK,الضروري,الضروري
97,OK,للحيوان,للحيوان
98,DEL,١,
99,OK,ولذلك,ولذلك
100,OK,ليس,ليس
101,OK,للملك,للملك
102,OK,ترق,ترق
103,OK,من,من
104,OK,مقام,مقام
105,OK,معلوم,معلوم
106,INS,,و
107,SUB,والروح,الروح
108,OK,الحيواني,الحيواني
109,OK,مستحيل,مستحيل
110,OK,متغذ,متغذ
111,SUB,نام,تام
112,OK,قابل,قابل
113,OK,للتحول,للتحول
114,OK,والانتقال,والانتقال
115,OK,الا,الا
116,OK,انه,انه
117,OK,اذا,اذا
118,OK,مات,مات
119,OK,مات,مات
120,OK,ولم,ولم
121,OK,يبق,يبق
122,OK,منه,منه
123,OK,شيء,شيء
124,OK,فجعل,فجعل
125,OK,الله,الله
126,OK,الانسان,الانسان
127,OK,جامعا,جامعا
128,OK,للروحين,للروحين
129,OK,لينطبع,لينطبع
130,SUB,روحه,راحة
131,OK,الملكي,الملكي
132,SUB,بطبع,يطيع
133,OK,روحه,روحه
134,OK,الحيواني,الحيواني
135,SUB,في,فى
136,SUB,التغذي,التغذى
137,OK,وقبول,وقبول
138,OK,الفناء,الفناء
139,OK,الذي,الذي
140,OK,يعبر,يعبر
141,OK,عنه,عنه
142,INS,,يا
143,SUB,بالموت,لمات
144,OK,ليصير,ليصير
145,OK,بروحه,بروحه
146,OK,الحيواني,الحيواني
147,OK,كائنا,كائنا
148,OK,مستحيلا,مستحيلا
149,OK,قابلا,قابلا
150,OK,للفناء,للفناء
151,OK,وينطبع,وينطبع
152,SUB,روحه,راحة
153,OK,الحيواني,الحيواني
154,OK,بطبع,بطبع
155,OK,روحه,روحه
156,SUB,الملكي,الملكى
157,OK,ليصير,ليصير
158,OK,عارفا,عارفا
