,operation,one,two
0,OK,ولم,ولم
1,OK,يسع,يسع
2,OK,جليلة,جليلة
3,OK,الا,الا
4,OK,ان,ان
5,OK,تفكر,تفكر
6,OK,فى,فى
7,OK,امر,امر
8,OK,الرجلين,الرجلين
9,OK,مراد,مراد
10,OK,الذى,الذى
11,OK,تعرفه,تعرفه
12,OK,منذ,منذ
13,OK,الطفولة,الطفولة
14,OK,والذى,والذى
15,OK,كان,كان
16,OK,يسود,يسود
17,OK,عيشها,عيشها
18,SUB,بعبثه,بعثه
19,OK,لان,لان
20,OK,هذا,هذا
21,OK,كان,كان
22,SUB,تعبيره,تعبير
23,SUB,الخاصعن,الخاص
24,INS,,عن
25,OK,حبه,حبه
26,SUB,لها,لهاـ
27,OK,وقد,وقد
28,OK,ظل,ظل
29,OK,بعد,بعد
30,OK,ذلك,ذلك
31,OK,يحبها,يحبها
32,OK,ولكنه,ولكنه
33,OK,احجم,احجم
34,OK,عن,عن
35,OK,طلب,طلب
36,OK,يدها,يدها
37,OK,لرقة,لرقة
38,OK,حاله,حاله
39,SUB,بالقياس,بالقيا
40,OK,اليها,اليها
41,OK,وقد,وقد
42,OK,صار,صار
43,SUB,تاجرا,تاجراءولكنه
44,DEL,ولكنه,
45,OK,لم,لم
46,OK,يثر,يثر
47,OK,لانه,لانه
48,OK,لا,لا
49,OK,يربح,يربح
50,OK,الا,الا
51,OK,الكفاية,الكفاية
52,INS,,و
53,SUB,ومن,من
54,OK,هنا,هنا
55,OK,احجامه,احجامه
56,OK,الى,الى
57,OK,الان,الان
58,OK,عن,عن
59,OK,خطوبتها,خطوبتها
60,OK,كما,كما
61,OK,حدثها,حدثها
62,OK,وقد,وقد
63,OK,زاد,زاد
64,OK,على,على
65,OK,ذلك,ذلك
66,OK,انه,انه
67,OK,كان,كان
68,OK,لا,لا
69,OK,يتصور,يتصور
70,OK,ان,ان
71,SUB,ترضىبه,ترفى
72,INS,,سه
73,OK,فتاة,فتاة
74,OK,مثلها,مثلها
75,OK,فكتم,فكتم
76,OK,حبه,حبه
77,OK,وطواه,وطواه
78,OK,فى,فى
79,OK,صدره,صدره
80,OK,وسال,وسال
81,SUB,لله,الله
82,OK,المعونة,المعونة
83,OK,على,على
84,OK,احتمال,احتمال
85,SUB,الياس,اليا
86,SUB,المخامر,المخا
87,INS,,مر
88,OK,وهو,وهو
89,OK,ظريف,ظريف
90,OK,كيس,كيس
91,OK,لبق,لبق
92,OK,دائم,دائم
93,OK,البشر,البشر
94,OK,واسع,واسع
95,OK,الادراك,الادراك
96,OK,رحيب,رحيب
97,OK,الافق,الافق
98,OK,حلو,حلو
99,OK,الفكاهة,الفكاهة
100,OK,وزكى,وزكى
101,SUB,الغنى,الفنى
102,OK,الذى,الذى
103,OK,لا,لا
104,OK,ينفك,ينفك
105,OK,مهموما,مهموما
106,OK,بمركزه,بمركزه
107,OK,المتخيل,المتخيل
108,OK,والذى,والذى
109,OK,لا,لا
110,SUB,يتقى,يتقىفى
111,DEL,فى,
112,OK,سبيل,سبيل
113,OK,الحرص,الحرص
114,OK,عليه,عليه
115,OK,ان,ان
116,OK,يجرح,يجرح
117,OK,قلب,قلب
118,OK,فتاة,فتاة
119,OK,ويتهمها,ويتهمها
120,OK,بالخفة,بالخفة
121,OK,والطيش,والطيش
122,OK,فى,فى
123,OK,سلوكها,سلوكها
124,OK,وبان,وبان
125,OK,سيرتها,سيرتها
126,OK,توشك,توشك
127,OK,ان,ان
128,OK,تسىء,تسىء
129,OK,الى,الى
130,OK,مركزه,مركزه
131,OK,الموهوم,الموهوم
132,OK,هذا,هذا
133,OK,وقد,وقد
134,SUB,احبته,احته
135,OK,هذا,هذا
136,OK,صحيح,صحيح
137,OK,ولكن,ولكن
138,OK,عينها,عينها
139,OK,فتحت,فتحت
140,SUB,فهى,ذفى
141,OK,تراه,تراه
142,OK,الان,الان
143,OK,على,على
144,OK,حقيقته,حقيقته
145,OK,وليس,وليس
146,OK,يسعها,يسعها
147,OK,الا,الا
148,OK,ان,ان
149,OK,تفكر,تفكر
150,OK,فى,فى
151,OK,حياتها,حياتها
152,OK,معه,معه
153,OK,كيف,كيف
154,SUB,يكون,تكون
155,OK,اذا,اذا
156,OK,كان,كان
157,OK,كل,كل
158,OK,ما,ما
159,OK,يباليه,يباليه
160,OK,فى,فى
161,OK,الدنيا,الدنيا
162,OK,هو,هو
163,OK,هذا,هذا
164,OK,المركز,المركز
165,OK,ولكنها,ولكنها
166,OK,خطيبته,خطيبته
167,OK,وقد,وقد
168,OK,قبلت,قبلت
169,OK,ان,ان
170,OK,تكون,تكون
171,OK,زوجته,زوجته
172,OK,فما,فما
173,OK,العمل,العمل
174,OK,الان,الان
175,OK,وسالت,وسالت
176,SUB,نفسها,نفسـها
177,OK,اى,اى
178,OK,الرجلين,الرجلين
179,OK,احب,احب
180,OK,اليها,اليها
