,operation,one,two
0,OK,اعنى,اعنى
1,OK,غير,غير
2,OK,ذلك,ذلك
3,INS,,٤
4,DEL,فضحك,
5,DEL,وقال,
6,DEL,تغضب,
7,SUB,فقال,فسالته
8,DEL,مستغربا,
9,OK,ولم,ولم
10,SUB,يسؤها,يسوها
11,OK,ذلك,ذلك
12,OK,لم,لم
13,SUB,تغضب,تفضب
14,OK,ولم,ولم
15,OK,تذهب,تذهب
16,OK,عنك,عنك
17,OK,ساخطة,ساخطة
18,INS,,فقال
19,SUB,غريب,مستغربا
20,SUB,ما,لا
21,INS,,تفضب
22,INS,,لملاذا
23,INS,,تفضب
24,DEL,هو,
25,SUB,فقال,اما
26,INS,,انك
27,SUB,غريب,لغريب
28,OK,فقلت,فقلت
29,OK,وانا,وانا
30,OK,مطرق,مطرق
31,INS,,غريب
32,SUB,لماذا,فقال
33,SUB,تغضب,غريب
34,SUB,اما,ما
35,INS,,هو
36,DEL,انك,
37,SUB,لغريب,الغريب
38,INS,,قلت
39,OK,اعنى,اعنى
40,OK,انى,انى
41,OK,اعرف,اعرف
42,OK,واحدا,واحدا
43,OK,قبل,قبل
44,OK,فتاة,فتاة
45,OK,فسخطت,فسخطت
46,OK,عليه,عليه
47,OK,وولت,وولت
48,OK,منه,منه
49,OK,هاربة,هاربة
50,SUB,قلت,فقال
51,INS,,سساطة
52,SUB,الغريب,لا
53,DEL,وضحك,
54,SUB,لابد,بد
55,OK,ان,ان
56,OK,يكون,يكون
57,OK,له,له
58,OK,وجه,وجه
59,OK,قرد,قرد
60,DEL,فقال,
61,DEL,ببساطة,
62,OK,وتركته,وتركته
63,OK,وعدت,وعدت
64,OK,الى,الى
65,SUB,البيت,اليت
66,OK,فكان,فكان
67,OK,اول,اول
68,OK,ما,ما
69,SUB,صنعت,صنمت
70,OK,ان,ان
71,OK,نظرت,نظرت
72,OK,فى,فى
73,OK,المراة,المراة
74,OK,وتاملت,وتاملت
75,OK,وجهى,وجهى
76,OK,كما,كما
77,OK,يبدو,يبدو
78,OK,فى,فى
79,OK,صقالها,صقالها
80,OK,ثم,ثم
81,OK,درت,درت
82,OK,حول,حول
83,OK,نفسى,نفسى
84,OK,وعينى,وعينى
85,OK,على,على
86,OK,جانبى,جانبى
87,SUB,وجهى,وجوى
88,SUB,ثم,تم
89,OK,تنهدت,تنهدت
90,SUB,واقصرت,واهصرت
91,OK,وكان,وكان
92,OK,للفتاة,للفتاة
93,INS,,ـ
94,OK,فتاتى,فتاتى
95,OK,انا,انا
96,OK,لا,لا
97,OK,السقاء,السقاء
98,OK,قطة,قطة
99,SUB,صغيرة,صغير
100,SUB,عزيزة,عز
101,INS,,يزم
102,OK,عليها,عليها
103,OK,فاتفق,فاتفق
104,OK,ان,ان
105,OK,مر,مر
106,OK,كلب,كلب
107,OK,ضال,ضال
108,OK,وكانت,وكانت
109,OK,هى,هى
110,INS,,ـ
111,OK,اعنى,اعنى
112,OK,القطة,القطة
113,OK,لا,لا
114,OK,الفتاة,الفتاة
115,OK,واقفة,واقفة
116,OK,على,على
117,OK,العتبة,العتبة
118,OK,فدنا,فدنا
119,OK,منها,منها
120,OK,الكلب,الكلب
121,OK,وهى,وهى
122,OK,غافلة,غافلة
123,OK,ولعلها,ولعلها
124,OK,كانت,كانت
125,SUB,مغفية,مففية
126,DEL,فاحست,
127,SUB,انفاسه,فاحستانفاسه
128,OK,وهو,وهو
129,OK,يشمها,يشمها
130,DEL,ففتحت,
131,OK,عينيها,عينيها
132,OK,وهى,وهى
133,OK,تتثاءب,تتثاءب
134,OK,وانتفضت,وانتفضت
135,OK,مذعورة,مذعورة
136,SUB,وثبت,تت
137,OK,وثبة,وثبة
138,OK,قطعت,قطعت
139,OK,بها,بها
140,OK,عرض,عرض
141,OK,الشارع,الشارع
142,OK,ولم,ولم
143,OK,يكف,يكف
144,OK,هذا,هذا
145,OK,لاطمئنانها,لاطمئنانها
146,DEL,فانطلقت,
147,DEL,تتسلقها,
148,DEL,جميز,
149,OK,فدخلت,فدخلت
150,OK,من,من
151,SUB,باب,نا
152,OK,الفته,الفته
153,OK,مفتوحا,مفتوحا
154,OK,وكان,وكان
155,OK,فى,فى
156,OK,ساحة,ساحة
157,SUB,البيت,السيت
158,OK,شجرة,شجرة
159,INS,,جميز
160,INS,,فانطلقت
161,INS,,تتسلقها
162,OK,ولم,ولم
163,OK,تزل,تزل
164,OK,تصعد,تصعد
165,OK,فيها,فيها
166,OK,حتى,حتى
167,OK,صارت,صارت
168,OK,على,على
169,OK,اعلى,اعلى
170,OK,فرع,فرع
171,OK,فيها,فيها
172,OK,وكانت,وكانت
173,OK,الفتاة,الفتاة
174,OK,قد,قد
175,OK,بصرت,بصرت
176,OK,بالقطة,بالقطة
177,OK,وهى,وهى
178,OK,تعدو,تعدو
179,OK,مذعورة,مذعورة
180,OK,وتدخل,وتدخل
181,SUB,البيت,السيت
182,OK,المقابل,المقابل
183,SUB,لبيتها,ليتها
184,OK,فانحدرت,فانحدرت
185,OK,مسرعة,مسرعة
186,OK,ودخلت,ودخلت
187,OK,وراءها,وراءها
188,OK,ونظرت,ونظرت
189,OK,فلم,فلم
190,OK,تجد,تجد
191,OK,شيئا,شيئا
192,OK,فارتدت,فارتدت
193,OK,الى,الى
194,OK,الباب,الباب
195,OK,وقد,وقد
196,OK,اغرورقت,اغرورقت
197,OK,عيناها,عيناها
198,OK,بالدموع,بالدموع
199,OK,واقبل,واقبل
200,OK,صديقى,صديقى
201,OK,فى,فى
202,OK,هذه,هذه
203,OK,اللحظة,اللحظة
204,OK,فسالها,فسالها
205,OK,عما,عما
206,OK,بها,بها
207,OK,فقالت,فقالت
208,OK,له,له
209,OK,ان,ان
210,OK,الكلب,الكلب
211,OK,افزع,افزع
212,OK,القطة,القطة
213,OK,فهربت,فهربت
214,OK,لا,لا
215,OK,تدرى,تدرى
216,OK,الى,الى
217,OK,اين,اين
218,OK,وهى,وهى
219,OK,تخشى,تخشى
220,OK,ان,ان
221,OK,ياخذها,ياخذها
222,OK,الجيران,الجيران
223,INS,,١٢٣
