,operation,one,two
0,DEL,كيف,
1,OK,تزعم,تزعم
2,OK,انى,انى
3,OK,اخفيت,اخفيت
4,OK,العقد,العقد
5,OK,لتشترى,لتشترى
6,OK,لى,لى
7,OK,سواه,سواه
8,INS,,فقال
9,INS,,ببطء
10,OK,الجواب,الجواب
11,OK,على,على
12,SUB,السؤال,السوال
13,OK,الاول,الاول
14,OK,بالنفى,بالنفى
15,OK,النفى,النفى
16,OK,البات,البات
17,OK,اما,اما
18,OK,الشطر,الشطر
19,OK,الثانى,الثانى
20,DEL,فقال,
21,DEL,ببطء,
22,OK,من,من
23,OK,السؤال,السؤال
24,OK,فان,فان
25,OK,الرد,الرد
26,OK,عليه,عليه
27,OK,يكون,يكون
28,OK,بعد,بعد
29,OK,الاكل,الاكل
30,OK,فانه,فانه
31,OK,يحتاج,يحتاج
32,OK,الى,الى
33,OK,عقل,عقل
34,OK,والعقل,والعقل
35,SUB,يذهب,لذهب
36,OK,به,به
37,SUB,ولكن,الجوع
38,DEL,كيف,
39,DEL,تجرؤ,
40,OK,فعادت,فعادت
41,OK,تصيح,تصيح
42,OK,به,به
43,SUB,الجوع,ولكن
44,INS,,كيفتجرؤ
45,SUB,فقالت,فقال
46,INS,,بهدوء
47,OK,من,من
48,SUB,الغريب,الفريب
49,OK,انى,انى
50,SUB,جئت,جنت
51,OK,الى,الى
52,OK,هنا,هنا
53,OK,لاكل,لاكل
54,OK,لا,لا
55,OK,لاتكلم,لاتكلم
56,OK,اولا,اولا
57,OK,يا,يا
58,OK,امراة,امراة
59,SUB,فقال,فقالت
60,DEL,بهدوء,
61,OK,هل,هل
62,OK,عنيت,عنيت
63,SUB,بالبحث,البحث
64,OK,فى,فى
65,SUB,ثيابك,تيابك
66,OK,بالطبع,بالطبع
67,OK,لم,لم
68,OK,تعن,تعن
69,INS,,فالتفت
70,INS,,الى
71,INS,,حسن
72,INS,,وقال
73,OK,شف,شف
74,OK,يا,يا
75,OK,حسن,حسن
76,OK,شف,شف
77,OK,احذر,احذر
78,OK,يا,يا
79,OK,ابنى,ابنى
80,OK,ان,ان
81,OK,تتزوج,تتزوج
82,OK,لا,لا
83,OK,عذر,عذر
84,DEL,فالتفت,
85,DEL,الى,
86,DEL,حسن,
87,DEL,وقال,
88,SUB,لك,اك
89,OK,وقد,وقد
90,SUB,رايت,رات
91,SUB,بعينك,نعينك
92,OK,ما,ما
93,OK,تصنع,تصنع
94,OK,الزوجات,الزوجات
95,OK,ببعولتهن,ببعولتهن
96,INS,,فقال
97,INS,,حسن
98,OK,اظن,اظن
99,OK,انى,انى
100,OK,ساتزوج,ساتزوج
101,OK,وعلى,وعلى
102,OK,فكرة,فكرة
103,OK,كيف,كيف
104,DEL,تسمح,
105,OK,لنفسك,لنفسك
106,OK,ان,ان
107,OK,تتهمنى,تتهمنى
108,DEL,فقال,
109,DEL,حسن,
110,OK,بالسرقة,بالسرقة
111,DEL,وانت,
112,DEL,ايضا,
113,DEL,لم,
114,DEL,يبق,
115,DEL,لى,
116,OK,فرفع,فرفع
117,OK,احمد,احمد
118,OK,يديه,يديه
119,OK,الى,الى
120,OK,السماء,السماء
121,OK,ثم,ثم
122,OK,التفت,التفت
123,OK,الى,الى
124,OK,حسن,حسن
125,OK,وقال,وقال
126,INS,,وانت
127,SUB,يا,ايضا
128,SUB,امراة,لم
129,INS,,يبق
130,DEL,انى,
131,SUB,فى,لى
132,DEL,المكتب,
133,DEL,ونهض,
134,DEL,وقال,
135,OK,عيش,عيش
136,OK,فى,فى
137,OK,هذا,هذا
138,SUB,البيت,اليت
139,OK,فلارحل,فلارحل
140,INS,,ونهض
141,INS,,وقال
142,INS,,يا
143,INS,,امراة
144,INS,,انى
145,SUB,في,فى
146,SUB,الطريق,المكتب
147,OK,لم,لم
148,OK,ندع,ندع
149,OK,مكانا,مكانا
150,OK,فى,فى
151,OK,البيت,البيت
152,OK,الا,الا
153,OK,بحثنا,بحثنا
154,OK,فيه,فيه
155,OK,ولا,ولا
156,OK,ثوبا,ثوبا
157,OK,فى,فى
158,OK,خزانة,خزانة
159,OK,احمد,احمد
160,OK,الا,الا
161,OK,نفضناه,نفضناه
162,OK,وقلبنا,وقلبنا
163,OK,جيوبه,جيوبه
164,OK,حتى,حتى
165,OK,السجاجيد,السجاجيد
166,OK,رفعناها,رفعناها
167,OK,ونظرنا,ونظرنا
168,OK,تحتها,تحتها
169,SUB,حتى,تنى
170,OK,الستائر,الستائر
171,OK,نحيناها,نحيناها
172,OK,واجلنا,واجلنا
173,OK,عيوننا,عيوننا
174,OK,فيما,فيما
175,OK,وراءها,وراءها
176,OK,وفيها,وفيها
177,OK,ايضا,ايضا
178,OK,مخافة,مخافة
179,OK,ان,ان
180,OK,يكون,يكون
181,OK,حبل,حبل
182,OK,العقد,العقد
183,OK,قد,قد
184,SUB,علق,ملق
185,SUB,بشيء,بشىء
186,OK,منها,منها
187,OK,فلم,فلم
188,OK,نجد,نجد
189,OK,عقدا,عقدا
190,OK,ولا,ولا
191,SUB,حبة,حبـة
192,OK,من,من
193,OK,عقد,عقد
194,SUB,فيئسنا,فينسنا
195,OK,وحل,وحل
196,OK,الاكتئاب,الاكتئاب
197,OK,محل,محل
198,OK,البشر,البشر
199,OK,فقد,فقد
200,OK,كنا,كنا
201,OK,الى,الى
202,OK,ما,ما
203,OK,قبل,قبل
204,OK,ذلك,ذلك
205,OK,نعتقد,نعتقد
206,OK,ان,ان
207,OK,العقد,العقد
208,OK,موجود,موجود
209,OK,فى,فى
210,OK,مكان,مكان
211,OK,ما,ما
212,OK,ولكن,ولكن
213,OK,اعيننا,اعيننا
214,OK,لا,لا
215,OK,تراه,تراه
216,OK,وقد,وقد
217,OK,اعدنا,اعدنا
218,OK,البحث,البحث
219,OK,مرة,مرة
220,OK,اخرى,اخرى
221,OK,لظننا,لظننا
222,OK,وتوهمنا,وتوهمنا
223,OK,اننا,اننا
224,OK,تخطيناه,تخطيناه
225,OK,بعيوننا,بعيوننا
226,OK,ونحن,ونحن
227,OK,نديرها,نديرها
228,OK,كما,كما
229,OK,هى,هى
230,OK,العادة,العادة
231,OK,فى,فى
232,OK,حالة,حالة
233,OK,الاضطراب,الاضطراب
234,OK,ولم,ولم
235,OK,يكن,يكن
236,OK,احمد,احمد
237,DEL,يعفينا,
238,OK,من,من
239,OK,مزاحه,مزاحه
240,OK,فى,فى
241,OK,خلال,خلال
242,OK,هذا,هذا
243,SUB,البحث,الحث
244,OK,المتعب,المتعب
245,OK,فلما,فلما
246,OK,كففنا,كففنا
247,OK,قال,قال
248,OK,وهو,وهو
249,INS,,يضطجع
250,INS,,ويشعل
251,INS,,سيجارته
252,OK,لا,لا
253,OK,فائدة,فائدة
254,OK,لقد,لقد
255,OK,كنت,كنت
256,OK,اعلم,اعلم
257,OK,من,من
258,OK,اول,اول
259,OK,الامر,الامر
260,OK,ان,ان
261,OK,لا,لا
262,OK,فائدة,فائدة
263,OK,قلت,قلت
264,DEL,يضطجع,
265,DEL,ويشعل,
266,DEL,سيجارته,
267,DEL,فصاحت,
268,DEL,به,
269,OK,لكم,لكم
270,OK,مائة,مائة
271,INS,,٥٩
