,operation,one,two
0,DEL,ارجو,
1,SUB,ولم,وله
2,OK,يكن,يكن
3,OK,هذا,هذا
4,OK,مما,مما
5,OK,يجرى,يجرى
6,SUB,لصاحبنا,لصاحبنافى
7,DEL,فى,
8,OK,حساب,حساب
9,OK,فلم,فلم
10,DEL,ينتبه,
11,OK,الى,الى
12,OK,ما,ما
13,OK,حدث,حدث
14,OK,الا,الا
15,OK,بعد,بعد
16,OK,ان,ان
17,OK,ارتمت,ارتمت
18,OK,على,على
19,OK,الارض,الارض
20,OK,بعضها,بعضها
21,OK,على,على
22,OK,الكرسى,الكرسى
23,OK,وسائرها,وسائرها
24,OK,على,على
25,OK,السجادة,السجادة
26,OK,فانحنى,فانحنى
27,OK,عليها,عليها
28,OK,وحملها,وحملها
29,DEL,في,
30,DEL,الطريق,
31,DEL,ولم,
32,DEL,ينتظره,
33,DEL,محمد,
34,DEL,محمد,
35,DEL,تعال,
36,DEL,حالا,
37,OK,واراحها,واراحها
38,OK,على,على
39,OK,الكرسى,الكرسى
40,OK,وخرج,وخرج
41,OK,يعدو,يعدو
42,OK,ويصيح,ويصيح
43,INS,,حمـد
44,INS,,جمد
45,INS,,تعال
46,INS,,حالا
47,INS,,ولم
48,INS,,ينتظره
49,OK,بل,بل
50,OK,ذهب,ذهب
51,OK,الى,الى
52,OK,غرفة,غرفة
53,OK,النوم,النوم
54,OK,وجاء,وجاء
55,OK,منها,منها
56,OK,بزجاجة,بزجاجة
57,OK,من,من
58,OK,الكولونيا,الكولونيا
59,OK,رش,رش
60,SUB,منها,منهسا
61,OK,على,على
62,OK,وجهها,وجهها
63,OK,الاصفر,الاصفر
64,OK,واقبل,واقبل
65,OK,على,على
66,OK,راحتيها,راحتيها
67,OK,يدلكهما,يدلكهما
68,OK,وخلع,وخلع
69,OK,حذاءيها,حذاءيها
70,OK,وجوربيها,وجوربيها
71,OK,وراح,وراح
72,OK,يدلك,يدلك
73,OK,قدميها,قدميها
74,OK,ايضا,ايضا
75,OK,بالكولونيا,بالكولونيا
76,SUB,ومحمد,وحمد
77,OK,واقف,واقف
78,OK,ينظر,ينظر
79,OK,وينتظر,وينتظر
80,OK,الاوامر,الاوامر
81,OK,التى,التى
82,OK,لا,لا
83,OK,تصدر,تصدر
84,OK,ولا,ولا
85,OK,يصنع,يصنع
86,DEL,شيئا,
87,OK,بعد,بعد
88,OK,لاى,لاى
89,DEL,ما,
90,SUB,بدا,ماءبدا
91,OK,الدم,الدم
92,OK,يعود,يعود
93,OK,الى,الى
94,OK,وجهها,وجهها
95,OK,الممتقع,الممتقع
96,OK,فتنفس,فتنفس
97,OK,عبد,عبد
98,OK,الحميد,الحميد
99,SUB,الصعداء,الصعدا
100,SUB,واطمان,اطما
101,INS,,و
102,INS,,ن
103,OK,وفتحت,وفتحت
104,OK,ليلى,ليلى
105,OK,عينيها,عينيها
106,OK,واجالتهما,واجالتهما
107,OK,فيما,فيما
108,OK,حولها,حولها
109,OK,بفتور,بفتور
110,OK,ثم,ثم
111,OK,تنهدت,تنهدت
112,OK,ووسعها,ووسعها
113,OK,ان,ان
114,INS,,تتكلم
115,INS,,فقالت
116,OK,لم,لم
117,OK,يحدث,يحدث
118,OK,لى,لى
119,OK,هذا,هذا
120,SUB,ابدا,اندا
121,DEL,تتكلم,
122,SUB,فقالت,فقال
123,INS,,بشىء
124,INS,,من
125,INS,,العنف
126,OK,كان,كان
127,OK,جميلا,جميلا
128,SUB,جدا,حدا
129,OK,ان,ان
130,OK,يحدث,يحدث
131,OK,لك,لك
132,OK,هذا,هذا
133,OK,فى,فى
134,OK,الشارع,الشارع
135,OK,هه,هه
136,SUB,فقال,فابتسمت
137,DEL,بشىء,
138,DEL,من,
139,DEL,العنف,
140,DEL,محمد,
141,DEL,خذ,
142,DEL,هذه,
143,SUB,فقال,وقالت
144,SUB,اشكرك,اشكرلد
145,OK,انى,انى
146,OK,اسفة,اسفة
147,OK,هذه,هذه
148,OK,اول,اول
149,SUB,مرة,مر
150,DEL,فابتسمت,
151,SUB,وقالت,فقال
152,INS,,حمد
153,INS,,خذ
154,INS,,هذه
