,operation,one,two
0,OK,فان,فان
1,OK,الكلب,الكلب
2,OK,لا,لا
3,OK,يحسن,يحسن
4,OK,التقبيل,التقبيل
5,OK,وهذا,وهذا
6,OK,هو,هو
7,OK,البديل,البديل
8,OK,عنده,عنده
9,OK,من,من
10,OK,القبل,القبل
11,OK,ولو,ولو
12,OK,كنت,كنت
13,SUB,كلبك,كلك
14,OK,يا,يا
15,OK,فتاتى,فتاتى
16,OK,الجميلة,الجميلة
17,OK,لكنت,لكنت
18,OK,حارسك,حارسك
19,OK,الامين,الامين
20,OK,وفارسك,وفارسك
21,OK,الذى,الذى
22,OK,لا,لا
23,OK,يقصر,يقصر
24,OK,ولا,ولا
25,OK,يغفل,يغفل
26,OK,ولا,ولا
27,OK,يسهو,يسهو
28,OK,ولو,ولو
29,OK,كنت,كنت
30,SUB,كلبك,كلك
31,OK,لكان,لكان
32,OK,من,من
33,OK,حقى,حقى
34,OK,على,على
35,OK,الارجح,الارجح
36,INS,,ـ
37,OK,فانك,فانك
38,OK,رقيقة,رقيقة
39,OK,القلب,القلب
40,INS,,ـ
41,OK,ان,ان
42,OK,انام,انام
43,OK,على,على
44,OK,سريرك,سريرك
45,DEL,في,
46,DEL,الطريق,
47,DEL,لا,
48,DEL,تخافى,
49,DEL,فانى,
50,DEL,لم,
51,DEL,اصركلبا,
52,OK,فصرخت,فصرخت
53,OK,ووضعت,ووضعت
54,OK,راحتها,راحتها
55,OK,على,على
56,OK,فمى,فمى
57,OK,فضحكت,فضحكت
58,OK,وقلت,وقلت
59,INS,,لا
60,INS,,تخافى
61,INS,,فانى
62,INS,,لم
63,INS,,اصر
64,INS,,كلبا
65,OK,مع,مع
66,OK,الاسف,الاسف
67,OK,ابى,ابى
68,OK,الحظ,الحظ
69,OK,هذه,هذه
70,OK,النعمة,النعمة
71,OK,على,على
72,OK,المسكين,المسكين
73,OK,الذى,الذى
74,OK,هو,هو
75,OK,انا,انا
76,OK,واستانفنا,واستانفنا
77,SUB,الدرس,الد
78,INS,,رس
79,OK,وعدنا,وعدنا
80,OK,الى,الى
81,OK,التدريب,التدريب
82,OK,واقبلنا,واقبلنا
83,OK,على,على
84,OK,ذلك,ذلك
85,OK,بعزم,بعزم
86,OK,لا,لا
87,OK,يفتر,يفتر
88,OK,وارادة,وارادة
89,OK,لا,لا
90,OK,تلين,تلين
91,DEL,تعبت,
92,OK,او,او
93,OK,تضعف,تضعف
94,OK,ثم,ثم
95,OK,وقفنا,وقفنا
96,OK,واراحت,واراحت
97,OK,يديها,يديها
98,OK,وتنهدت,وتنهدت
99,OK,وقالت,وقالت
100,INS,,تعست
101,INS,,قلت
102,OK,انى,انى
103,OK,اسف,اسف
104,OK,استريحى,استريحى
105,SUB,قلت,فسالتنى
106,OK,هل,هل
107,OK,تعبت,تعبت
108,OK,انت,انت
109,SUB,ايضا,انضا
110,SUB,فسالتنى,قلت
111,OK,كلا,كلا
112,OK,انما,انما
113,OK,تعبت,تعبت
114,OK,من,من
115,OK,التفكير,التفكير
116,SUB,قلت,قالت
117,OK,فى,فى
118,OK,اى,اى
119,OK,شىء,شىء
120,OK,كنت,كنت
121,OK,تفكر,تفكر
122,SUB,قالت,قلت
123,OK,هل,هل
124,OK,تصدقيننى,تصدقيننى
125,OK,اذا,اذا
126,SUB,اخبرتك,اخرتك
127,SUB,قلت,قالت
128,OK,لم,لم
129,OK,لا,لا
130,OK,اصدق,اصدق
131,OK,هل,هل
132,OK,هو,هو
133,OK,شىء,شىء
134,OK,غريب,غريب
135,OK,جدا,جدا
136,SUB,قالت,قلت
137,DEL,نعم,
138,SUB,جدا,حدا
139,OK,لقد,لقد
140,OK,كنت,كنت
141,INS,,ـ
142,OK,وانت,وانت
143,OK,على,على
144,OK,صدرى,صدرى
145,SUB,اشتهى,فى
146,OK,ان,ان
147,OK,امرغ,امرغ
148,OK,نفسى,نفسى
149,OK,فى,فى
150,OK,هذه,هذه
151,DEL,قلت,
152,OK,الرمال,الرمال
153,OK,وان,وان
154,OK,اعوى,اعوى
155,OK,كالكلب,كالكلب
156,DEL,ولكن,
157,OK,فضحكت,فضحكت
158,OK,حتى,حتى
159,OK,ترقرق,ترقرق
160,OK,الدمع,الدمع
161,OK,فى,فى
162,OK,عينيها,عينيها
163,OK,وقالت,وقالت
164,OK,بعد,بعد
165,OK,ان,ان
166,OK,وجدت,وجدت
167,OK,لسانها,لسانها
168,INS,,ولكن
169,OK,لماذا,لماذا
170,INS,,٤
171,OK,ان,ان
172,OK,هذا,هذا
173,OK,شىء,شىء
174,OK,غريب,غريب
175,INS,,قلت
176,OK,لا,لا
177,OK,غرابة,غرابة
178,OK,على,على
179,OK,الاطلاق,الاطلاق
180,OK,الم,الم
181,OK,اقل,اقل
182,OK,لك,لك
183,OK,ان,ان
184,OK,فى,فى
185,OK,من,من
186,OK,الكلب,الكلب
187,OK,خصائص,خصائص
188,OK,اشتهيت,اشتهيت
189,OK,ان,ان
190,DEL,قلت,
191,OK,افعل,افعل
192,OK,ذلك,ذلك
193,OK,عسى,عسى
194,OK,ان,ان
195,OK,تصنعى,تصنعى
196,DEL,معى,
197,OK,ما,ما
198,OK,كان,كان
199,OK,يمكن,يمكن
200,OK,ان,ان
201,OK,تصنعى,تصنعى
202,OK,مع,مع
203,OK,كلبك,كلبك
204,OK,تحمليننى,تحمليننى
205,OK,بين,بين
206,OK,يديك,يديك
207,SUB,عل,على
208,OK,ذراعيك,ذراعيك
209,OK,وتدنين,وتدنين
210,OK,فمك,فمك
211,OK,الدقيق,الدقيق
212,OK,من,من
213,OK,وجهى,وجهى
214,OK,وتقبليننى,وتقبليننى
215,OK,فالاعبك,فالاعبك
216,OK,واضع,واضع
217,OK,يدى,يدى
218,OK,على,على
219,OK,كتفك,كتفك
220,OK,وانظر,وانظر
221,OK,فى,فى
222,OK,عينيك,عينيك
223,OK,وامسح,وامسح
224,OK,خدى,خدى
225,OK,بخدك,بخدك
226,OK,على,على
227,OK,فكرة,فكرة
228,OK,وقبل,وقبل
229,OK,ان,ان
230,OK,انسى,انسى
231,INS,,١٦
