,operation,one,two
0,INS,,١٣٤
1,OK,غلاما,غلاما
2,SUB,فما,ف
3,SUB,ينبغي,ينبغى
4,OK,ان,ان
5,SUB,يئول,يؤول
6,SUB,امر,اهر
7,OK,هذه,هذه
8,OK,الدار,الدار
9,OK,الى,الى
10,OK,البنات,البنات
11,OK,وازواجهن,وازواجهن
12,OK,من,من
13,OK,الغرباء,الغرباء
14,OK,وكانت,وكانت
15,OK,جادة,جادة
16,SUB,في,فق
17,OK,هذا,هذا
18,OK,الالحاح,الالحاح
19,DEL,الفصل,
20,DEL,العشرون,
21,OK,وكانت,وكانت
22,OK,قد,قد
23,OK,اختارت,اختارت
24,SUB,للحاج,للحاح
25,SUB,مسعود,سعود
26,OK,بنفسها,بنفسها
27,SUB,فيما,فيا
28,SUB,بينها,بيمها
29,INS,,و
30,SUB,وبين,بين
31,OK,نفسها,نفسها
32,OK,زوجته,زوجته
33,OK,الثانية,الثانية
34,SUB,ولكن,ولحن
35,OK,الحاج,الحاج
36,OK,مسعود,مسعود
37,OK,كان,كان
38,SUB,جادا,جاد
39,INS,,ا
40,OK,في,في
41,OK,رفضه,رفضه
42,SUB,وجادا,وجاد
43,INS,,ا
44,OK,في,في
45,OK,انذاره,انذاره
46,OK,بان,بان
47,OK,يرفع,يرفع
48,OK,امرها,امرها
49,OK,الى,الى
50,SUB,الشيخ,الشرخ
51,OK,وقد,وقد
52,OK,زاد,زاد
53,OK,حبه,حبه
54,SUB,لها,طها
55,OK,منذ,منذ
56,OK,تلك,تلك
57,SUB,المحنة,المخنة
58,OK,واشتد,واشتد
59,OK,عطفه,عطفه
60,SUB,عليها,علها
61,SUB,حتى,حى
62,OK,لقد,لقد
63,OK,كان,كان
64,SUB,يصطحبها,يصطحها
65,OK,معه,معه
66,SUB,الى,ال
67,SUB,الحج,الاج
68,OK,ايثارا,ايثارا
69,OK,لها,لها
70,SUB,بالخير,بادير
71,OK,وكراهية,وكراهية
72,OK,لفراقها,لفراقها
73,OK,فما,فما
74,SUB,ينبغي,ينبغى
75,OK,ان,ان
76,OK,يسوء,يسوء
77,SUB,ظنها,ظها
78,OK,به,به
79,OK,او,او
80,OK,يفسد,يفسد
81,OK,رايها,رايها
82,OK,فيه,فيه
83,OK,وما,وما
84,SUB,ينبغي,ينبغى
85,SUB,لها,ها
86,OK,الا,الا
87,OK,ان,ان
88,OK,تطيعه,تطيعه
89,OK,وتذعن,وتذعن
90,SUB,لامره,لا
91,INS,,ر
92,INS,,مه
93,OK,انه,انه
94,SUB,سيفرق,سيفرف
95,SUB,بينها,ويرها
96,OK,وبين,وبين
97,SUB,ابنتها,ابن
98,INS,,ا
99,OK,فليكن,فليكن
100,OK,ما,ما
101,OK,يريد,يريد
102,OK,فلولا,فلولا
103,OK,ان,ان
104,SUB,لله,الله
105,OK,قد,قد
106,OK,كتب,كتب
107,OK,ذلك,ذلك
108,OK,لما,لما
109,OK,خطر,خطر
110,OK,هذا,هذا
111,OK,الخاطر,الخاطر
112,OK,للشيخ,للشيخ
113,SUB,ولما,ولا
114,OK,الح,الح
115,OK,فيه,فيه
116,OK,الحاج,الحاج
117,OK,مسعود,مسعود
118,OK,وهل,وهل
119,OK,خلق,خلق
120,OK,النساء,النساء
121,SUB,في,فى
122,OK,هذه,هذه
123,OK,الحياة,الحياة
124,OK,الا,الا
125,OK,لطاعة,لطاعة
126,OK,الازواج,الازواج
127,OK,والاذعان,والاذعان
128,OK,للقضاء,للقضاء
129,OK,المكتوب,المكتوب
130,OK,فلما,فلما
131,OK,عرف,عرف
132,OK,خالد,خالد
133,SUB,ذلك,ذلث
134,OK,تردد,تردد
135,OK,ساعة,ساعة
136,OK,بين,بين
137,SUB,الرضا,اارضا
138,OK,والسخط,والسخط
139,OK,ولكنه,ولكنه
140,OK,لم,لم
141,OK,يلبث,يلبث
142,OK,ان,ان
143,OK,اطمان,اطمان
144,OK,الى,الى
145,OK,الرضا,الرضا
146,OK,فهو,فهو
147,OK,لم,لم
148,OK,يتعود,يتعود
149,OK,ان,ان
150,OK,يخالف,يخالف
151,OK,عن,عن
152,OK,امر,امر
153,OK,الشيخ,الشيخ
154,OK,وهو,وهو
155,OK,مدين,مدين
156,OK,بما,بما
157,OK,في,في
158,OK,حياته,حياته
159,OK,كلها,كلها
160,OK,من,من
161,OK,خير,خير
162,OK,وشر,وشر
163,OK,للشيخ,للشيخ
164,OK,ولابيه,ولابيه
165,OK,فاما,فاما
166,OK,الشيخ,الشيخ
167,OK,الكبير,الكبير
168,OK,فقد,فقد
169,OK,زوجه,زوجه
170,OK,نفيسة,نفيسة
171,OK,واذاقه,واذاقه
172,SUB,ثمرة,بمرة
173,OK,البؤس,البؤس
174,OK,ولكنه,ولكنه
175,INS,,خطب
176,INS,,له
177,INS,,مى
178,OK,واما,واما
179,OK,الشيخ,الشيخ
180,SUB,الشاب,الشا
181,OK,فقد,فقد
182,OK,زوجه,زوجه
183,SUB,منى,مى
184,OK,وفتح,وفتح
185,OK,له,له
186,OK,ابوابا,ابوابا
187,OK,من,من
188,SUB,الخير,الحجير
189,OK,وما,وما
190,DEL,منى,
191,DEL,خطب,
192,DEL,به,
193,OK,كان,كان
194,OK,لمؤمن,لمؤمن
195,INS,,و
196,SUB,ولا,لا
197,INS,,له
198,DEL,مؤمنة,
199,SUB,اذا,الا
200,INS,,ا
201,SUB,قضى,سى
202,INS,,ا
203,INS,,ال
204,INS,,مومنه
205,INS,,اداوضى
206,SUB,لله,الله
207,SUB,ورسوله,ورسو
208,SUB,امرا,ر
209,INS,,ل
210,DEL,ان,
211,SUB,يكون,و
