,operation,one,two
0,INS,,٣
1,DEL,الفصل,
2,DEL,الثالثعشر,
3,SUB,صلى,صل
4,SUB,ابراهيم,ابراهه
5,SUB,باصحابه,باجابه
6,OK,العشاء,العشاء
7,SUB,وسمع,وسيمع
8,OK,معهم,معهم
9,OK,القران,القران
10,OK,واقام,واقام
11,SUB,لهم,ه
12,OK,حلقة,حلقة
13,OK,الذكر,الذكر
14,OK,فلما,فلما
15,SUB,هم,ه
16,OK,الناس,الناس
17,OK,ان,ان
18,OK,يتفرقوا,يتفرقوا
19,SUB,استبقى,استبى
20,OK,اصفياء,اصفياء
21,OK,ابيه,ابيه
22,SUB,حتى,حين
23,SUB,اذا,ازا
24,OK,خلا,خلا
25,SUB,لهم,مم
26,SUB,المجلس,اغولس
27,OK,قال,قال
28,INS,,طر
29,DEL,لهم,
30,SUB,في,فى
31,OK,صوته,صوته
32,SUB,الهادئ,اهادى
33,OK,تعلمون,تعلمون
34,OK,ان,ان
35,OK,الشيخ,الشيخ
36,OK,رحمه,رحمه
37,SUB,لله,الله
38,OK,كان,كان
39,OK,قد,قد
40,OK,ازمع,ازمع
41,OK,الحج,الحج
42,SUB,من,مف
43,OK,عامه,عامه
44,OK,هذا,هذا
45,OK,وكان,وكان
46,OK,عليه,عليه
47,OK,حريصا,حريصا
48,OK,يريد,يريد
49,OK,ان,ان
50,SUB,يتم,يم
51,OK,الحجة,الحجة
52,OK,السابعة,السابعة
53,OK,ولكن,ولكن
54,SUB,لله,الله
55,SUB,اثره,اره
56,SUB,برحمته,برمته
57,OK,قبل,قبل
58,OK,ان,ان
59,OK,يبلغه,يبلغه
60,OK,هذه,هذه
61,OK,الامنية,الامنية
62,OK,وقد,وقد
63,OK,استخرت,استخرت
64,SUB,لله,الله
65,OK,ورايت,ورايت
66,OK,ان,ان
67,SUB,اتم,ا
68,OK,له,له
69,OK,ما,ما
70,OK,لم,لم
71,OK,يتح,يتح
72,OK,له,له
73,OK,فانا,فانا
74,OK,مستعد,مستعد
75,SUB,للحج,للح
76,OK,اذا,اذا
77,OK,كان,كان
78,OK,الغد,الغد
79,OK,وواهب,وواهب
80,OK,ثواب,ثواب
81,OK,هذه,هذه
82,OK,الحجة,الحجة
83,OK,ان,ان
84,SUB,اثابني,اثابى
85,SUB,لله,الله
86,OK,عليها,عليها
87,OK,للشيخ,للشيخ
88,SUB,فمن,فن
89,OK,اراد,اراد
90,SUB,منكم,منكر
91,OK,ان,ان
92,OK,يحج,يحج
93,OK,معنا,معنا
94,OK,فليتجهز,فليتجهز
95,OK,من,من
96,OK,غده,غده
97,OK,ومن,ومن
98,OK,كان,كان
99,OK,ذا,ذا
100,OK,عيلة,عيلة
101,OK,فان,فان
102,OK,علينا,علينا
103,OK,نفقته,نفقته
104,OK,فقد,فقد
105,OK,ترك,ترك
106,OK,الشيخ,الشيخ
107,OK,لنا,لنا
108,OK,خيرا,خيرا
109,OK,كثيرا,كثيرا
110,SUB,ثم,م
111,OK,اطرق,اطرق
112,OK,اطراقة,اطراقة
113,OK,ورفع,ورفع
114,OK,راسه,راسه
115,OK,وقال,وقال
116,OK,وتحدثوا,وتحدثوا
117,OK,بذلك,بذلك
118,SUB,الى,ال
119,OK,من,من
120,SUB,شئتم,فنم
121,OK,من,من
122,SUB,اصحابكم,ارابك
123,OK,والذين,والذين
124,OK,يلونكم,يلونكم
125,SUB,فاني,فاى
126,OK,لا,لا
127,OK,اكره,اكره
128,OK,ان,ان
129,OK,يكثر,يكثر
130,OK,الحج,الحج
131,SUB,على,عل
132,SUB,اسم,اسه
133,OK,الشيخ,الشيخ
134,OK,وان,وان
135,OK,اعين,اعين
136,SUB,على,عل
137,OK,اداء,اداء
138,OK,هذه,هذه
139,OK,الفريضة,الفريضة
140,OK,من,من
141,OK,عجز,عجز
142,OK,عن,عن
143,SUB,ادائها,ادامها
144,SUB,فماذا,فاذا
145,OK,ترون,ترون
146,OK,قالوا,قالوا
147,OK,كلهم,كلهم
148,SUB,انما,اما
149,OK,رايت,رايت
150,OK,رشدا,رشدا
151,OK,وقد,وقد
152,OK,خار,خار
153,SUB,لله,الله
154,SUB,لك,لاث
155,SUB,فيما,فيا
156,SUB,الهمك,اهمك
157,OK,وكلنا,وكلنا
158,OK,متجهز,متجهز
159,SUB,للحج,لممج
160,OK,من,من
