,operation,one,two
0,INS,,٩
1,DEL,الفصل,
2,DEL,التاسع,
3,DEL,عشر,
4,OK,قالت,قالت
5,OK,نفيسة,نفيسة
6,SUB,لصديقتها,لصديقها
7,OK,زبيدة,زبيدة
8,SUB,وهي,وهى
9,SUB,تواسيها,تواسها
10,OK,بين,بين
11,OK,نوحتين,نوحتين
12,OK,حين,حين
13,SUB,انقطع,القطع
14,SUB,فجاة,فجاءة
15,SUB,تعديد,تعداه
16,OK,المعددة,المعددة
17,OK,وسكت,وسكت
18,SUB,الماتم,الا
19,INS,,م
20,OK,ودارت,ودارت
21,OK,عليهن,عليهن
22,OK,قهوة,قهوة
23,INS,,ير
24,SUB,يشربنها,بها
25,SUB,في,فى
26,OK,صمت,صمت
27,SUB,عميق,كميق
28,SUB,ودموع,ودهوع
29,SUB,منها,مها
30,OK,ما,ما
31,OK,لا,لا
32,OK,يزال,يزال
33,SUB,يساقط,ساقط
34,OK,قطرات,قطرات
35,OK,متقطعة,متقطعة
36,SUB,ومنها,وهمها
37,OK,ما,ما
38,OK,لا,لا
39,OK,يزال,يزال
40,OK,ينهل,ينهل
41,OK,وابلا,وابلا
42,OK,غزيرا,غزيرا
43,OK,ومنها,ومنها
44,OK,ما,ما
45,OK,يريد,يريد
46,OK,ان,ان
47,OK,يجف,يجف
48,OK,لولا,لولا
49,OK,قطرة,قطرة
50,SUB,تمده,بمده
51,OK,بين,بين
52,OK,حين,حين
53,OK,وحين,وحين
54,OK,قالت,قالت
55,OK,نفيسة,نفيسة
56,SUB,لصديقتها,لصديقبا
57,OK,زبيدة,زبيدة
58,OK,هامسة,هامسة
59,SUB,كانما,كاما
60,OK,تسر,تسر
61,OK,اليها,اليها
62,OK,شيئا,شيئا
63,OK,لو,لو
64,OK,تعلمين,تعلمين
65,SUB,اني,اى
66,OK,لا,لا
67,OK,احزن,احزن
68,SUB,على,عل
69,OK,فقد,فقد
70,SUB,امي,اى
71,OK,بمقدار,بمقدار
72,OK,ما,ما
73,OK,احزن,احزن
74,SUB,على,عل
75,SUB,دفنها,دفها
76,SUB,في,فى
77,OK,هذه,هذه
78,OK,المدينة,المدينة
79,INS,,ا
80,SUB,من,ن
81,OK,وراء,وراء
82,SUB,النهر,المر
83,OK,بعيدة,بعيدة
84,OK,عن,عن
85,SUB,ابي,اى
86,SUB,واخوي,واخوى
87,SUB,اولئك,اولكك
88,OK,الذين,الذين
89,OK,دفنوا,دفنوا
90,SUB,في,فى
91,OK,القاهرة,القاهرة
92,OK,فهم,فهم
93,OK,لم,لم
94,SUB,يفترقوا,يفرقوا
95,SUB,في,فى
96,OK,الحياة,الحياة
97,OK,قط,قط
98,OK,الا,الا
99,SUB,هذه,هاءه
100,OK,الاسفار,الاسفار
101,SUB,التي,النى
102,OK,كان,كان
103,OK,يعمد,يعمد
104,SUB,اليها,الها
105,SUB,ابي,اى
