,operation,one,two
0,OK,منها,منها
1,OK,ابغض,ابغض
2,OK,ما,ما
3,OK,يسمع,يسمع
4,OK,الرجل,الرجل
5,OK,من,من
6,OK,امراته,امراته
7,OK,شكاة,شكاة
8,OK,من,من
9,OK,هذه,هذه
10,SUB,ونعيا,ورعيا
11,SUB,على,عل
12,OK,تلك,تلك
13,OK,وعيبا,وعيبا
14,OK,للثالثة,للثالثة
15,OK,وثناء,وثناء
16,SUB,على,عل
17,OK,نفسها,نفسها
18,SUB,ثم,مم
19,OK,الحاحا,الحاحا
20,OK,في,في
21,OK,التسوية,التسوية
22,OK,بينها,بينها
23,OK,وبين,وبين
24,OK,ضرائرها,ضرائرها
25,OK,فقد,فقد
26,OK,اهدى,اهدى
27,OK,الى,الى
28,OK,هذه,هذه
29,OK,ما,ما
30,OK,لم,لم
31,OK,يهد,يهد
32,OK,اليها,اليها
33,OK,مثله,مثله
34,SUB,وزعمت,وزعت
35,OK,تلك,تلك
36,OK,انه,انه
37,OK,ترك,ترك
38,SUB,لها,ها
39,OK,من,من
40,OK,النقد,النقد
41,OK,كذا,كذا
42,OK,وكذا,وكذا
43,OK,درهما,درهما
44,SUB,على,عل
45,OK,حين,حين
46,OK,انه,انه
47,SUB,يبيت,يبت
48,OK,عندها,عندها
49,OK,ولا,ولا
50,SUB,يترك,يرك
51,OK,لها,لها
52,OK,شيئا,شيئا
53,SUB,وانها,واما
54,OK,لتلتمس,لتلتمس
55,SUB,المليمات,المليات
56,SUB,تشتري,تشبرى
57,OK,بها,بها
58,SUB,الحلوى,الحاوى
59,SUB,لصبيها,لصبرها
60,SUB,البائس,االبائر
61,OK,فلا,فلا
62,SUB,تجدها,جدها
63,OK,فيظل,فيظل
64,OK,ابنها,ابنها
65,SUB,محروما,مجروما
66,OK,ينظر,ينظر
67,OK,الى,الى
68,SUB,ابناء,ابنا
69,INS,,ا
70,SUB,الضرائر,صرائر
71,SUB,وهم,وه
72,SUB,فرحون,رحون
73,SUB,بما,عا
74,SUB,في,ي
75,INS,,اند
76,SUB,ايديهم,يهم
77,OK,من,من
78,OK,الحلوى,الحلوى
79,OK,وما,وما
80,SUB,في,فى
81,OK,جيوبهم,جيوبهم
82,OK,من,من
83,OK,الوان,الوان
84,OK,النقل,النقل
85,SUB,وعلى,وعل
86,OK,هذا,هذا
87,OK,النحو,النحو
88,DEL,تنغص,
89,OK,عليه,عليه
90,OK,ليلته,ليلته
91,SUB,حتى,حيى
92,OK,ينتظر,ينتظر
93,OK,الصبح,الصبح
94,OK,اشد,اشد
95,OK,ما,ما
96,OK,يكون,يكون
97,OK,اليه,اليه
98,OK,شوقا,شوقا
99,OK,فاذا,فاذا
100,SUB,سمع,سم
101,OK,صوت,صوت
102,OK,المؤذن,المؤذن
103,OK,اسرع,اسرع
104,OK,الى,الى
105,OK,وضوئه,وضوئه
106,OK,وصلاته,وصلاته
107,OK,يظن,يظن
108,OK,ان,ان
109,OK,التقوى,التقوى
110,SUB,هي,هى
111,SUB,التي,الى
112,DEL,شجرة,
113,DEL,البؤس,
114,OK,تدفعه,تدفعه
115,SUB,اليهما,الهما
116,OK,وما,وما
117,OK,كان,كان
118,OK,يدفعه,يدفعه
119,SUB,اليهما,الهما
120,OK,الا,الا
121,SUB,الهرب,ال
122,INS,,ر
123,OK,من,من
124,OK,هذه,هذه
125,SUB,الحياة,الحماة
126,SUB,البغيضة,البغيضه
127,SUB,ومن,وون
128,OK,هذا,هذا
129,OK,الليل,الليل
130,OK,الطويل,الطويل
131,OK,الثقيل,الثقيل
132,OK,ولم,ولم
133,OK,يكن,يكن
134,SUB,علي,عل
135,OK,يجد,يجد
136,OK,الراحة,الراحة
137,SUB,والنعيم,والنعيه
138,OK,الا,الا
139,OK,في,في
140,OK,ليلة,ليلة
141,OK,ام,ام
142,OK,خالد,خالد
143,OK,حين,حين
144,SUB,يخلو,يخاو
145,OK,الى,الى
146,OK,نفسه,نفسه
147,OK,والى,والى
148,OK,ذكرى,ذكرى
149,OK,زوجه,زوجه
150,OK,الكريمة,الكريمة
151,SUB,فيمتلئ,فيمتلى
152,OK,قلبه,قلبه
153,SUB,حبا,حرا
154,OK,وحنانا,وحنانا
155,SUB,ثم,م
156,OK,يسرع,يسرع
157,OK,الى,الى
158,OK,ذكر,ذكر
159,SUB,لله,الله
160,OK,وتلاوة,وتلاوة
161,OK,القران,القران
162,SUB,ليهدي,لهدى
163,OK,الى,الى
164,OK,هذه,هذه
165,SUB,الزوج,اازوج
166,OK,الصالحة,الصالحة
167,OK,شيئا,شيئا
168,OK,من,من
169,OK,ثواب,ثواب
170,OK,الاخرة,الاخرة
171,OK,بعد,بعد
172,OK,ان,ان
173,OK,لم,لم
174,OK,يستطع,يستطع
175,OK,ان,ان
176,SUB,يهدي,يهدى
177,OK,اليها,اليها
178,OK,شيئا,شيئا
179,OK,من,من
180,DEL,نعيم,
181,DEL,الدنيا,
182,SUB,رحم,رح
183,SUB,لله,اللها
184,DEL,ام,
185,OK,خالد,خالد
186,OK,لقد,لقد
187,SUB,كانت,كا
188,INS,,ت
189,OK,برة,برة
190,OK,به,به
191,OK,عطوفا,عطوفا
192,OK,عليه,عليه
193,OK,لم,لم
194,SUB,تخالف,بخالف
195,INS,,عم
196,INS,,لا
197,OK,عن,عن
198,OK,امره,امره
199,OK,قط,قط
200,OK,ولم,ولم
201,OK,تسؤه,تسؤه
202,SUB,في,فى
203,OK,نفسه,نفسه
204,OK,قط,قط
205,SUB,لم,لمم
206,OK,تؤذه,تؤذه
207,OK,بقول,بقول
208,OK,ولا,ولا
209,OK,عمل,عمل
210,OK,لم,لم
211,OK,ير,ير
212,SUB,منها,ما
213,OK,الا,الا
214,OK,خيرا,خيرا
215,SUB,منذ,هنذ
216,SUB,لقيها,اميبا
217,OK,الى,الى
218,OK,ان,ان
219,OK,فارقها,فارقها
220,OK,كانت,كانت
221,SUB,مباركة,باركة
222,OK,لم,لم
223,OK,يحس,يحس
224,SUB,في,فى
225,OK,ايامها,ايامها
226,OK,ضيقا,ضيقا
227,OK,ولا,ولا
228,OK,ضنكا,ضنكا
229,SUB,وانما,واما
230,OK,كان,كان
231,OK,المال,المال
232,OK,يتدفق,يتدفق
233,INS,,ى
234,DEL,في,
235,OK,متجره,متجره
236,SUB,والخير,والحير
237,SUB,يتدفق,يتفق
238,INS,,ى
239,DEL,في,
240,OK,داره,داره
241,OK,وكانت,وكانت
242,OK,حياته,حياته
243,OK,بين,بين
244,SUB,حبها,حمها
245,OK,له,له
246,OK,ورضا,ورضا
247,OK,الشيخ,الشيخ
248,OK,عنه,عنه
249,SUB,ونمو,ومو
250,OK,ابنه,ابنه
251,OK,خالد,خالد
252,INS,,مم
253,SUB,مشرقا,قا
254,OK,باسما,باسما
255,OK,فرحا,فرحا
256,OK,مرحا,مرحا
257,SUB,نعيما,نعا
258,OK,متصلا,متصلا
259,SUB,اين,ا
260,INS,,فى
261,SUB,هو,وو
262,OK,من,من
263,OK,هذا,هذا
264,SUB,النعيم,النعي
265,SUB,ايجده,امجده
266,OK,عند,عند
267,OK,زينب,زينب
268,OK,هذه,هذه
269,SUB,التي,الى
270,SUB,تقدمت,تقده
271,SUB,بها,مها
272,SUB,السن,ال
273,INS,,سن
274,SUB,حتى,حى
275,SUB,اخذ,اخاه
276,OK,وجهها,وجهها
277,OK,يكلح,يكلح
278,OK,وتظهر,وتظهر
279,OK,فيه,فيه
280,OK,التجاعيد,التجاعيد
