,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,SUB,الرجعى,الرجعي
3,OK,وقوله,وقوله
4,OK,ان,ان
5,OK,الابرار,الابرار
6,OK,لفي,لفي
7,SUB,نعيم,نعيموان
8,DEL,وان,
9,OK,الفجار,الفجار
10,OK,لفي,لفي
11,OK,جحيم,جحيم
12,OK,وقوله,وقوله
13,OK,وهو,وهو
14,OK,الذي,الذي
15,OK,ذراكم,ذراكم
16,SUB,في,فى
17,OK,الارض,الارض
18,OK,واليه,واليه
19,OK,تحشرون,تحشرون
20,OK,وقوله,وقوله
21,OK,وصوركم,وصوركم
22,OK,فاحسن,فاحسن
23,OK,صوركم,صوركم
24,OK,واليه,واليه
25,OK,المصير,المصير
26,OK,وقوله,وقوله
27,OK,يوم,يوم
28,OK,يقوم,يقوم
29,OK,الناس,الناس
30,OK,لرب,لرب
31,OK,العالمين,العالمين
32,OK,وقوله,وقوله
33,OK,ان,ان
34,OK,كتاب,كتاب
35,OK,الابرار,الابرار
36,OK,لفي,لفي
37,OK,عليين,عليين
38,DEL,و,
39,SUB,ان,وان
40,OK,كتاب,كتاب
41,OK,الفجار,الفجار
42,OK,لفي,لفي
43,OK,سجين,سجين
44,INS,,و
45,SUB,والمراد,المراد
46,OK,منه,منه
47,OK,كتاب,كتاب
48,OK,النفس,النفس
49,OK,وكذا,وكذا
50,OK,قوله,قوله
51,OK,واذا,واذا
52,OK,الصحف,الصحف
53,OK,نشرت,نشرت
54,OK,فان,فان
55,OK,النفوس,النفوس
56,OK,في,في
57,OK,هذا,هذا
58,OK,العالم,العالم
59,OK,مطوية,مطوية
60,OK,بما,بما
61,OK,فيها,فيها
62,OK,من,من
63,SUB,الهيئات,الهئات
64,SUB,والنقوش,والنقاش
65,OK,والاجسام,والاجسام
66,OK,بما,بما
67,OK,فيها,فيها
68,OK,من,من
69,OK,الاعراض,الاعراض
70,INS,,و
71,SUB,والصور,الصور
72,OK,منشورة,منشورة
73,OK,وفي,وفي
74,OK,الاخرة,الاخرة
75,OK,بالعكس,بالعكس
76,OK,من,من
77,OK,ذلك,ذلك
78,OK,فان,فان
79,OK,اجرام,اجرام
80,SUB,السماوات,السموات
81,OK,مطوية,مطوية
82,OK,هناك,هناك
83,OK,لقوله,لقوله
84,OK,تعالى,تعالى
85,OK,يوم,يوم
86,OK,نطوي,نطوي
87,OK,السماء,السماء
88,OK,كطي,كطي
89,OK,السجل,السجل
90,OK,للكتب,للكتب
91,OK,والاجرام,والاجرام
92,OK,الارضية,الارضية
93,OK,مقبوضة,مقبوضة
94,OK,لقوله,لقوله
95,OK,والارض,والارض
96,OK,جميعا,جميعا
97,OK,قبضته,قبضته
98,OK,يوم,يوم
99,OK,القيامة,القيامة
100,OK,والنفوس,والنفوس
101,SUB,والارواح,والاروام
102,OK,مكشوفة,مكشوفة
103,OK,بارزة,بارزة
104,OK,واعلم,واعلم
105,OK,ان,ان
106,OK,جمهور,جمهور
107,OK,الفلاسفة,الفلاسفة
108,OK,لم,لم
109,OK,يعلموا,يعلموا
110,OK,من,من
111,OK,حقيقة,حقيقة
112,OK,الروح,الروح
113,OK,وماهية,وماهية
114,OK,النفس,النفس
115,OK,الا,الا
116,OK,قدرا,قدرا
117,OK,يسيرا,يسيرا
118,OK,يلزم,يلزم
119,OK,من,من
120,OK,احوال,احوال
121,OK,بعض,بعض
122,OK,مراتبها,مراتبها
123,OK,ومقاماتها,ومقاماتها
124,OK,من,من
125,OK,جهة,جهة
126,OK,ما,ما
127,OK,نظروا,نظروا
128,OK,في,في
129,OK,احوال,احوال
130,OK,البدن,البدن
131,OK,وعوارضه,وعوارضه
132,OK,وذلك,وذلك
133,OK,مثل,مثل
134,OK,كونها,كونها
135,OK,مدركة,مدركة
136,SUB,مدبرة,مديره
137,OK,وهاتان,وهاتان
138,OK,صفتان,صفتان
139,OK,نسبيتان,نسبيتان
140,OK,يشترك,يشترك
141,OK,فيهما,فيهما
142,OK,الحيوانات,الحيوانات
143,OK,واما,واما
144,OK,ما,ما
145,OK,ادركوا,ادركوا
146,OK,من,من
147,OK,بقائها,بقائها
148,OK,بعد,بعد
149,OK,انقطاع,انقطاع
150,OK,تصرفها,تصرفها
151,OK,عن,عن
152,OK,البدن,البدن
153,SUB,فانما,فان
154,INS,,ما
155,OK,عرفوا,عرفوا
156,OK,ذلك,ذلك
157,OK,من,من
