,operation,one,two
0,INS,,٨
1,INS,,اسرار
2,INS,,الايات
3,OK,لعلكم,لعلكم
4,OK,تعقلون,تعقلون
5,INS,,و
6,SUB,واردف,اردف
7,OK,هذا,هذا
8,OK,الكلام,الكلام
9,SUB,بقوله,يقوله
10,OK,هو,هو
11,OK,الذي,الذي
12,OK,يحيي,يحيي
13,OK,ويميت,ويميت
14,OK,فاذا,فاذا
15,OK,قضى,قضى
16,OK,امرا,امرا
17,OK,فانما,فانما
18,OK,يقول,يقول
19,OK,له,له
20,OK,كن,كن
21,OK,فيكون,فيكون
22,OK,اشارة,اشارة
23,OK,الى,الى
24,OK,الحياة,الحياة
25,OK,العقلية,العقلية
26,SUB,النورية,النارية
27,OK,ومقابلها,ومقابلها
28,OK,وهو,وهو
29,OK,موت,موت
30,OK,الجهل,الجهل
31,OK,كما,كما
32,OK,في,في
33,OK,قوله,قوله
34,OK,اومن,اومن
35,OK,كان,كان
36,OK,ميتا,ميتا
37,OK,فاحييناه,فاحييناه
38,OK,وجعلنا,وجعلنا
39,OK,له,له
40,OK,نورا,نورا
41,OK,يمشي,يمشي
42,OK,به,به
43,OK,في,في
44,OK,الناس,الناس
45,OK,كمن,كمن
46,OK,مثله,مثله
47,OK,في,في
48,OK,الظلمات,الظلمات
49,INS,,ال
50,SUB,الاية,اية
51,OK,اشارة,اشارة
52,OK,الى,الى
53,OK,ان,ان
54,SUB,مبدا,مبدء
55,OK,هذه,هذه
56,OK,الحياة,الحياة
57,OK,من,من
58,OK,عالم,عالم
59,OK,الامر,الامر
60,OK,الذي,الذي
61,OK,وجوده,وجوده
62,OK,بكلمة,بكلمة
63,OK,الله,الله
64,OK,التامة,التامة
65,OK,الوجودية,الوجودية
66,OK,ولا,ولا
67,OK,يتعلق,يتعلق
68,OK,وجوده,وجوده
69,OK,بشيء,بشيء
70,OK,اخر,اخر
71,SUB,كبدن,كبدنا
72,DEL,او,
73,SUB,مادة,ومادة
74,OK,او,او
75,OK,طبيعة,طبيعة
76,OK,او,او
77,OK,غيرها,غيرها
78,OK,وقال,وقال
79,OK,تعالى,تعالى
80,OK,اشارة,اشارة
81,OK,الى,الى
82,OK,مبادي,مبادي
83,OK,تكون,تكون
84,OK,الانسان,الانسان
85,OK,ونفسه,ونفسه
86,SUB,اذ,واذ
87,OK,قال,قال
88,OK,ربك,ربك
89,OK,للملائكة,للملائكة
90,OK,اني,اني
91,OK,خالق,خالق
92,OK,بشرا,بشرا
93,OK,من,من
94,OK,طين,طين
95,OK,فاذا,فاذا
96,OK,سويته,سويته
97,OK,ونفخت,ونفخت
98,OK,فيه,فيه
99,OK,من,من
100,OK,روحي,روحي
101,OK,فقعوا,فقعوا
102,OK,له,له
103,OK,ساجدين,ساجدين
104,OK,وهذه,وهذه
105,OK,التسوية,التسوية
106,OK,فعل,فعل
107,OK,وقع,وقع
108,OK,من,من
109,OK,جانب,جانب
110,OK,الله,الله
111,OK,في,في
112,OK,محل,محل
113,OK,قابل,قابل
114,OK,لفيضان,لفيضان
115,OK,الروح,الروح
116,OK,بعد,بعد
117,OK,تردده,تردده
118,OK,في,في
119,OK,اطوار,اطوار
120,OK,الخلقة,الخلقة
121,OK,بالتسوية,بالتسوية
122,OK,والتعديل,والتعديل
123,OK,وكما,وكما
124,OK,ان,ان
125,OK,القابل,القابل
126,OK,للصورة,للصورة
127,OK,النارية,النارية
128,OK,لا,لا
129,OK,يمكن,يمكن
130,OK,ان,ان
131,OK,يكون,يكون
132,OK,جسما,جسما
133,OK,يابسا,يابسا
134,OK,محضا,محضا
135,OK,كالتراب,كالتراب
136,OK,والحجر,والحجر
137,OK,ولا,ولا
138,OK,رطبا,رطبا
139,SUB,محضا,محض
140,SUB,كالماء,اكالماء
141,OK,والشجر,والشجر
142,OK,الرطب,الرطب
143,OK,بل,بل
144,OK,لا,لا
145,OK,بد,بد
146,OK,لقبولها,لقبولها
147,OK,من,من
148,OK,مادة,مادة
149,OK,دخانية,دخانية
150,OK,تحدث,تحدث
151,OK,من,من
152,SUB,نبات,نباتيا
153,SUB,يابس,بس
154,OK,لطيف,لطيف
155,OK,فتشبث,فتشبث
156,OK,به,به
157,OK,النار,النار
158,OK,وتشتعل,وتشتعل
159,OK,فيه,فيه
160,OK,كذلك,كذلك
161,OK,الطين,الطين
162,OK,بعد,بعد
163,OK,ان,ان
164,INS,,ا
165,SUB,انشاه,نشاه
166,OK,الله,الله
167,OK,خلقا,خلقا
168,OK,بعد,بعد
169,OK,خلق,خلق
170,OK,في,في
171,OK,اطوار,اطوار
172,OK,متعاقبة,متعاقبة
173,OK,يصير,يصير
174,OK,نباتا,نباتا
175,SUB,فياكله,فياكل
176,SUB,الادمي,هالادمي
177,OK,فيصير,فيصير
178,OK,دما,دما
179,OK,فينزع,فينزع
180,OK,القوة,القوة
181,OK,المميزة,المميزة
182,OK,المركوزة,المركوزة
183,OK,في,في
184,OK,كل,كل
185,OK,حيوان,حيوان
186,OK,من,من
187,SUB,الدم,الد
188,SUB,صفوه,مصفاة
189,OK,الذي,الذي
190,OK,هو,هو
191,OK,اقرب,اقرب
192,OK,الى,الى
193,OK,الاعتدال,الاعتدال
194,OK,وابعد,وابعد
195,OK,من,من
196,OK,الكثرة,الكثرة
197,OK,والتضاد,والتضاد
198,OK,فيصير,فيصير
199,OK,نطفة,نطفة
200,OK,يقبلها,يقبلها
201,OK,الرحم,الرحم
202,INS,,و
203,SUB,ويمتزج,يمتزج
204,OK,بها,بها
205,OK,مني,مني
206,SUB,المراة,المراةفيزداد
207,DEL,فيزداد,
208,OK,اعتدالا,اعتدالا
209,OK,ثم,ثم
210,SUB,ينضجها,بنضجها
211,OK,الرحم,الرحم
212,OK,بحرارته,بحرارته
213,OK,فيزداد,فيزداد
214,INS,,تن
215,SUB,تناسبا,اسيا
216,DEL,حتى,
217,OK,ينتهي,ينتهي
218,SUB,في,فى
219,OK,الصفا,الصفا
220,OK,واستوى,واستوى
221,OK,نسبة,نسبة
222,OK,الاجزاء,الاجزاء
223,SUB,الى,الي
224,OK,غاية,غاية
225,OK,يستعد,يستعد
226,SUB,لقبول,لقب
227,INS,,سؤلا
228,SUB,النفس,لنفسو
229,SUB,وامساكها,امساكها
230,OK,كما,كما
231,OK,يستعد,يستعد
232,OK,الفتيلة,الفتيلة
233,OK,الممتزجة,الممتزجة
234,OK,بالدهن,بالدهن
235,OK,لقبول,لقبول
236,SUB,النارية,التا
237,INS,,ر
238,INS,,ية
239,OK,وامساكها,وامساكها
240,SUB,ثم,م
241,OK,هذه,هذه
242,OK,النفس,النفس
243,INS,,الا
244,SUB,الادمية,دمية
245,OK,كانها,كانها
246,SUB,نطفة,تطفة
247,OK,روحانية,روحانية
248,OK,وقعت,وقعت
249,OK,من,من
250,OK,صلب,صلب
251,OK,القضاء,القضاء
252,OK,في,في
253,OK,مشيمة,مشيمة
254,SUB,البدن,البدنو
255,SUB,ورحم,رحم
256,OK,الدنيا,الدنيا
257,OK,يحتاج,يحتاج
258,OK,الى,الى
259,OK,تصفية,تصفية
260,OK,وتعديل,وتعديل
261,OK,الاخلاق,الاخلاق
262,OK,والملكات,والملكات
263,OK,النفسانية,النفسانية
264,INS,,يا
265,SUB,بادهان,دهان
266,OK,المعارف,المعارف
267,SUB,ولبوب,ولباب
268,OK,الاغذية,الاغذية
269,OK,العلمية,العلمية
270,OK,لتصير,لتصير
271,OK,مادة,مادة
272,OK,لفيضان,لفيضان
273,OK,الروح,الروح
274,OK,الالهي,الالهي
275,OK,المنفوخ,المنفوخ
276,OK,باذن,باذن
277,OK,الله,الله
278,OK,في,في
279,OK,قالب,قالب
280,OK,العقل,العقل
281,OK,الهيولاني,الهيولاني
282,OK,بعد,بعد
283,OK,تطوره,تطوره
284,OK,بالاطوار,بالاطوار
285,OK,الملكية,الملكية
286,INS,,و
287,SUB,والتسوية,التسوية
288,OK,عبارة,عبارة
289,OK,عن,عن
290,OK,هذه,هذه
291,OK,الافعال,الافعال
292,OK,المرددة,المرددة
293,OK,لمادة,لمادة
294,OK,خلقة,خلقة
295,OK,الانسان,الانسان
296,OK,في,في
297,OK,الاطوار,الاطوار
298,OK,السالكة,السالكة
299,SUB,بها,يها
300,OK,الى,الى
301,OK,صفة,صفة
302,SUB,الاستواء,الاستواءصورةو
303,DEL,صورة,
304,SUB,ومعنى,معنى
305,OK,فالتسوية,فالتسوية
306,OK,تسويتان,تسويتان
307,OK,باحداهما,باحداهما
308,OK,يحصل,يحصل
309,OK,الانسان,الانسان
310,OK,البشري,البشري
311,SUB,لاجل,لا
312,INS,,جل
313,OK,فيضان,فيضان
314,INS,,ضان
