,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,OK,البشرية,البشرية
3,OK,فلذلك,فلذلك
4,SUB,قال,قالولو
5,DEL,ولو,
6,OK,جعلناه,جعلناه
7,OK,ملكا,ملكا
8,OK,لجعلناه,لجعلناه
9,OK,رجلا,رجلا
10,OK,تنبيها,تنبيها
11,OK,على,على
12,OK,انه,انه
13,OK,ليس,ليس
14,OK,في,في
15,OK,قوة,قوة
16,OK,عامة,عامة
17,OK,البشر,البشر
18,OK,الذين,الذين
19,OK,لم,لم
20,OK,يخصوا,يخصوا
21,OK,بذلك,بذلك
22,OK,الروح,الروح
23,OK,ان,ان
24,OK,يقبلوا,يقبلوا
25,SUB,الا,الامن
26,DEL,من,
27,OK,البشر,البشر
28,INS,,و
29,SUB,ولما,لم
30,SUB,عمى,اعمى
31,OK,الكفار,الكفار
32,OK,عن,عن
33,OK,ادراك,ادراك
34,OK,هذه,هذه
35,OK,المنزلة,المنزلة
36,OK,عزلوا,عزلوا
37,OK,الانبياء,الانبياء
38,SUB,عليهمالسلام,عليهم
39,INS,,السلم
40,OK,من,من
41,OK,فضيلة,فضيلة
42,OK,النبوة,النبوة
43,OK,وانكروا,وانكروا
44,OK,منزلتهم,منزلتهم
45,SUB,ونبوتهم,ونبوتهمو
46,SUB,ومنزلة,منزلة
47,OK,علمهم,علمهم
48,SUB,عليهمالسلام,عليهم
49,INS,,السلم
50,OK,كما,كما
51,OK,قال,قال
52,SUB,تعالى,تعالي
53,OK,قالوا,قالوا
54,OK,ان,ان
55,OK,انتم,انتم
56,OK,الا,الا
57,OK,بشر,بشر
58,OK,مثلنا,مثلنا
59,OK,تريدون,تريدون
60,OK,ان,ان
61,OK,تصدونا,تصدونا
62,OK,عما,عما
63,OK,كان,كان
64,OK,يعبد,يعبد
65,OK,اباؤنا,اباؤنا
66,OK,فالانبياء,فالانبياء
67,OK,بالاضافة,بالاضافة
68,OK,الى,الى
69,OK,سائر,سائر
70,OK,الناس,الناس
71,OK,كالانسان,كالانسان
72,OK,بالاضافة,بالاضافة
73,OK,الى,الى
74,OK,سائر,سائر
75,OK,الحيوانات,الحيوانات
76,SUB,وكالقلب,كالقلب
77,OK,بالقياس,بالقياس
78,OK,الى,الى
79,OK,سائر,سائر
80,OK,الاعضاء,الاعضاء
81,OK,والجوارح,والجوارح
82,OK,وايضا,وايضا
83,OK,منزلة,منزلة
84,OK,الانبياء,الانبياء
85,DEL,من,
86,OK,اممهم,اممهم
87,OK,منزلة,منزلة
88,OK,ضوء,ضوء
89,OK,الشمس,الشمس
90,OK,من,من
91,OK,الارض,الارض
92,SUB,ومنزلة,ومن
93,INS,,زلة
94,OK,علمهم,علمهم
95,OK,وعلم,وعلم
96,OK,وارثهم,وارثهم
97,INS,,و
98,SUB,ونائبهم,نائبهم
99,OK,من,من
100,OK,علم,علم
101,OK,الامم,الامم
102,OK,منزلة,منزلة
103,OK,ضوء,ضوء
104,OK,الشمس,الشمس
105,OK,ونور,ونور
106,OK,القمر,القمر
107,OK,من,من
108,OK,ضوء,ضوء
109,OK,نواحي,نواحي
110,OK,الارض,الارض
111,OK,كما,كما
112,OK,قال,قال
113,OK,هو,هو
114,OK,الذي,الذي
115,OK,جعل,جعل
116,OK,الشمس,الشمس
117,OK,ضياء,ضياء
118,OK,والقمر,والقمر
119,OK,نورا,نورا
120,OK,وكما,وكما
121,OK,ان,ان
122,OK,وجه,وجه
123,OK,الارض,الارض
124,DEL,لا,
125,SUB,يستضيء,لاستضيء
126,OK,الا,الا
127,OK,بنور,بنور
128,OK,الشمس,الشمس
129,OK,والقمر,والقمر
130,OK,والنجوم,والنجوم
131,OK,ونور,ونور
132,OK,الشمس,الشمس
133,OK,هو,هو
134,OK,المفيض,المفيض
135,OK,على,على
136,OK,القمر,القمر
137,OK,والنجوم,والنجوم
138,OK,وغيرها,وغيرها
139,OK,فكذلك,فكذلك
140,OK,منزلة,منزلة
141,OK,علوم,علوم
142,OK,الخلائق,الخلائق
143,OK,لا,لا
144,OK,تحصل,تحصل
145,DEL,ولا,
146,SUB,يتزكى,ولايتزكي
147,OK,نفوسهم,نفوسهم
148,OK,الا,الا
149,OK,بواسطة,بواسطة
150,OK,نبوة,نبوة
151,OK,الانبياء,الانبياء
152,OK,وعلى,وعلى
153,OK,هذا,هذا
154,OK,دل,دل
155,OK,بقوله,بقوله
