,operation,one,two
0,INS,,اسرار
1,INS,,الايات
2,INS,,و
3,SUB,والمخالب,المخالب
4,OK,ولا,ولا
5,OK,جناحا,جناحا
6,OK,يهرب,يهرب
7,OK,به,به
8,OK,عن,عن
9,OK,الاعداء,الاعداء
10,OK,كما,كما
11,OK,للطير,للطير
12,INS,,و
13,SUB,ولا,لا
14,DEL,قوة,
15,SUB,المشي,قوةالمشي
16,INS,,و
17,SUB,والجري,الجرى
18,SUB,في,فى
19,OK,الماء,الماء
20,OK,كما,كما
21,OK,للحيتان,للحيتان
22,OK,ولا,ولا
23,SUB,الكفاية,الكفائة
24,OK,في,في
25,OK,لباسهم,لباسهم
26,OK,كما,كما
27,OK,في,في
28,OK,سائر,سائر
29,OK,الحيوان,الحيوان
30,DEL,حيث,
31,OK,اغناها,اغناها
32,OK,عن,عن
33,OK,كثير,كثير
34,OK,ما,ما
35,OK,يفتقر,يفتقر
36,OK,اليه,اليه
37,OK,الناس,الناس
38,OK,ولاجل,ولاجل
39,OK,ذلك,ذلك
40,OK,قال,قال
41,SUB,تعالى,تعالي
42,OK,خلق,خلق
43,OK,الانسان,الانسان
44,OK,ضعيفا,ضعيفا
45,OK,وذلك,وذلك
46,OK,الظن,الظن
47,OK,صحيح,صحيح
48,OK,من,من
49,OK,وجه,وجه
50,OK,فاسد,فاسد
51,OK,من,من
52,OK,وجه,وجه
53,OK,اما,اما
54,OK,وجه,وجه
55,OK,صحته,صحته
56,OK,فلما,فلما
57,OK,اشرنا,اشرنا
58,OK,اليه,اليه
59,OK,من,من
60,DEL,ان,
61,SUB,فعلية,انفعلية
62,OK,الوجود,الوجود
63,OK,وتاكد,وتاكد
64,OK,الصورة,الصورة
65,OK,يمنع,يمنع
66,OK,عن,عن
67,OK,قبول,قبول
68,OK,الكمال,الكمال
69,OK,الاعلى,الاعلى
70,OK,والفضيلة,والفضيلة
71,OK,القصوى,القصوى
72,OK,واما,واما
73,OK,وجه,وجه
74,OK,فساده,فساده
75,OK,فلما,فلما
76,OK,زعموا,زعموا
77,OK,ان,ان
78,OK,ذلك,ذلك
79,SUB,تمام,تما
80,SUB,صورة,مصورة
81,OK,الانسان,الانسان
82,OK,ولم,ولم
83,OK,يعلموا,يعلموا
84,OK,ان,ان
85,OK,ذلك,ذلك
86,OK,ابتداء,ابتداء
87,OK,خلقته,خلقته
88,OK,ومادة,ومادة
89,SUB,نشوه,تشوه
90,OK,وكماله,وكماله
91,INS,,ك
92,SUB,كالحبة,الحية
93,OK,بالقياس,بالقياس
94,OK,الى,الى
95,OK,الشجرة,الشجرة
96,INS,,و
97,SUB,والنطفة,النطفة
98,OK,بالقياس,بالقياس
99,OK,الى,الى
100,OK,الحيوان,الحيوان
101,OK,ولو,ولو
102,OK,كانت,كانت
103,SUB,للحبة,للحية
104,OK,صلابة,صلابة
105,OK,الحجر,الحجر
106,SUB,لم,له
107,OK,يمكن,يمكن
108,OK,وصولها,وصولها
109,OK,الى,الى
110,OK,غاية,غاية
111,OK,النمو,النمو
112,OK,ولو,ولو
113,OK,كانت,كانت
114,OK,للنطفة,للنطفة
115,OK,قوة,قوة
116,OK,الشجرية,الشجرية
117,OK,استحال,استحال
118,OK,ان,ان
119,OK,يصل,يصل
120,OK,الى,الى
121,OK,قبول,قبول
122,OK,الحياة,الحياة
123,OK,فلو,فلو
124,OK,لم,لم
125,OK,يكن,يكن
126,OK,في,في
127,OK,الانسان,الانسان
128,OK,بحسب,بحسب
129,OK,اول,اول
130,OK,الفطرة,الفطرة
131,OK,الخلو,الخلو
132,OK,عن,عن
133,OK,كل,كل
134,OK,فضيلة,فضيلة
135,OK,وعلم,وعلم
136,OK,لما,لما
137,OK,كان,كان
138,OK,في,في
139,OK,جوهر,جوهر
140,OK,ذاته,ذاته
141,SUB,صلوح,صلاح
142,OK,كل,كل
143,OK,فضيلة,فضيلة
144,OK,وعلم,وعلم
145,OK,ولاجل,ولاجل
146,OK,التنبيه,التنبيه
147,OK,على,على
148,OK,ذلك,ذلك
149,OK,قال,قال
150,OK,تعالى,تعالى
151,INS,,و
152,SUB,والله,الله
153,OK,اخرجكم,اخرجكم
154,OK,من,من
155,OK,بطون,بطون
156,OK,امهاتكم,امهاتكم
157,OK,لا,لا
158,OK,تعلمون,تعلمون
159,OK,شيئا,شيئا
160,OK,وجعل,وجعل
161,OK,لكم,لكم
