,operation,one,two
0,OK,الحقيبة,الحقيبة
1,SUB,المغلقة,المذلقة
2,SUB,ولا,لا
3,INS,,ا
4,INS,,و
5,SUB,يتجهم,يجهم
6,OK,ولكنه,ولكنه
7,OK,لا,لا
8,OK,يتطلق,يتطلق
9,SUB,ويتبسط,واتبسط
10,INS,,ط
11,INS,,وـل
12,DEL,فلم,
13,SUB,تتهيا,تتها
14,SUB,للموعد,للمو
15,INS,,عد
16,INS,,بز
17,SUB,بزينتها,ينتها
18,OK,التي,التي
19,SUB,تعلم,تعل
20,SUB,انها,ايها
21,SUB,تروقه,تراقه
22,SUB,وتستجلب,وتستجيب
23,OK,هواه,هواه
24,SUB,ولكنها,ولـكتها
25,OK,لم,لم
26,OK,تهمل,تهمل
27,SUB,زينتها,زيتتها
28,OK,اهمال,اهمال
29,OK,المعرض,المعرض
30,OK,قليل,قليل
31,INS,,ايل٢٢
32,INS,,ا
33,SUB,الاكتراث,سار
34,INS,,ث
35,INS,,ث
36,SUB,فهي,وهي
37,OK,زينة,زينة
38,SUB,صالحة,صليحة
39,OK,مع,مع
40,OK,قليل,قليل
41,OK,من,من
42,OK,الاعتذار,الاعتذار
43,OK,واذا,واذا
44,SUB,وصل,وصن
45,INS,,مرا
46,INS,,ا
47,SUB,الامر,الا
48,SUB,الى,الي
49,OK,هذا,هذا
50,SUB,فاي,ناي
51,OK,اعتذار,اعتذار
52,OK,لا,لا
53,SUB,يغني,يغذى
54,SUB,غناه,غذاءه
55,OK,ولو,ولو
56,OK,جاء,جاء
57,OK,عفو,عفو
58,OK,الساعة,الساعة
59,OK,وكان,وكان
60,OK,من,من
61,SUB,دابها,داما
62,OK,ان,ان
63,SUB,تختلس,فتاس
64,SUB,رضاه,رد
65,INS,,و
66,INS,,و
67,INS,,ا
68,SUB,وتحطم,تحط
69,SUB,الحواجز,الحراايا
70,SUB,بينها,به
71,DEL,وبينه,
72,SUB,بسلاح,لاح
73,OK,من,من
74,SUB,سلاحين,سلم
75,INS,,حاذن
76,SUB,بالدعابة,بالدعلية
77,SUB,والتهكم,والتهج
78,OK,او,او
79,INS,,بالامي
80,SUB,بالاسىوالتضعضع,والتضعضع
81,INS,,ع
82,SUB,فاما,ولما
83,OK,في,في
84,OK,هذه,هذه
85,OK,المرة,المرة
86,SUB,فسلاح,وسلاح
87,INS,,الامي
88,INS,,وايقاس
89,SUB,الاسىوالتماسالشفقة,الشفقة
90,OK,لن,لن
91,SUB,يلائم,يلام
92,OK,مظهر,مظهر
93,INS,,ا
94,INS,,ا
95,SUB,السفارة,سر
96,INS,,ر
97,SUB,التي,الي
98,SUB,تتردد,يردد
99,OK,بين,بين
100,SUB,الحرب,اطرب
101,SUB,والسلام,وليلا
102,INS,,ا
103,OK,فدخلت,فدخلت
104,OK,من,من
105,OK,الباب,الباب
106,OK,وهي,وهي
107,OK,تشهر,تشهر
108,SUB,سلاح,سيا
109,SUB,التهكم,التهك
110,OK,والمناوشة,والمناوشة
111,OK,والتفتت,والتفتت
112,SUB,وهي,وه
113,OK,داخلة,داخلة
114,SUB,كمن,كن
115,OK,ضل,ضل
116,OK,الطريق,الطريق
117,SUB,وافضىبه,واقضي
118,INS,,ه
119,OK,السير,السير
120,OK,الى,الى
121,OK,غير,غير
122,OK,المكان,المكان
123,OK,المتوقع,المتوقع
124,OK,فقالت,فقالت
125,SUB,وهي,وو
126,SUB,تلقي,تلق
127,SUB,بقبعتها,بقاعتها
128,INS,,ا
129,INS,,اك
130,INS,,ايه
131,OK,من,من
132,SUB,اكبر,ار
133,SUB,العجب,ج
134,SUB,انني,اي
135,SUB,وصلت,و
136,INS,,ا
137,INS,,لمت
138,SUB,الى,ال
139,SUB,هنا,هذا
140,OK,ولم,ولم
141,OK,اصل,اصل
142,OK,الى,الى
143,SUB,المعبد,المهادد
144,INS,,قال
145,INS,,همام
146,OK,في,في
147,SUB,سره,سروه
148,SUB,ويحك,و
149,INS,,و
150,INS,,ك
151,INS,,ك
152,OK,هذه,هذه
153,SUB,تحية,جة
154,OK,وعظك,وعظك
155,INS,,ك
156,OK,ثم,ثم
157,SUB,اجابها,اجلها
158,SUB,من,مر
159,SUB,نمط,تمط
160,SUB,تحيتها,تحيتا
161,SUB,قائلا,قاثيا
162,DEL,همام,
163,SUB,قال,ا
164,OK,معبد,معبد
165,OK,استغفري,استغفري
166,SUB,لله,الله
167,DEL,يا,
168,SUB,امة,باامة
169,SUB,لله,اليوه
170,INS,,١
171,OK,وهل,وهل
172,SUB,تستطيع,تستطبع
173,OK,قدماك,قدماك
174,SUB,ان,ار
175,OK,تحملاك,تحملاك
176,OK,الى,الى
177,OK,المعبد,المعبد
178,OK,ولو,ولو
179,OK,قادك,قادك
180,OK,اليه,اليه
181,OK,الف,الف
182,OK,دليل,دليل
183,SUB,قالت,والت
184,SUB,ولم,و
185,SUB,تتريث,تراث
186,INS,,ث
187,OK,انه,انه
188,SUB,لتقريظ,لتةر
189,INS,,يظ
190,OK,حسن,حسن
191,OK,لبيتك,لبيتك
192,OK,ان,ان
193,SUB,يكون,يكرن
194,INS,,مر
195,DEL,هو,
196,OK,المكان,المكان
197,OK,الوحيد,الوحيد
198,OK,الذي,الذي
199,SUB,تحملني,عملي
200,OK,اليه,اليه
201,SUB,قدماي,قدملى
202,INS,,١
203,INS,,١
204,OK,قال,قال
205,INS,,ل
206,OK,وهل,وهل
207,SUB,تحسبينني,يسائي
208,OK,اغتبط,اغتبط
209,OK,بهذا,بهذا
210,OK,التقريظ,التقريظ
