,operation,one,two
0,INS,,١٥٣
1,INS,,اما
2,INS,,ا
3,INS,,الدوميتةة
4,SUB,ففيها,فضها
5,OK,حساب,حساب
6,SUB,للمصادفة,للمصادقة
7,OK,وفيها,وفيها
8,OK,حساب,حساب
9,SUB,للتدبير,للتدرار
10,SUB,وفيها,وقاها
11,OK,حساب,حساب
12,SUB,لليقين,ليبقين
13,DEL,الدومينة,
14,DEL,اما,
15,OK,وفيها,وفيها
16,OK,حساب,حساب
17,OK,للظنون,للظنون
18,OK,وفيها,وفيها
19,SUB,حساب,حسان
20,SUB,للغيب,ليغ
21,OK,الذي,الذي
22,SUB,تجهله,بيه
23,OK,انت,انت
24,SUB,وخصمك,وخص
25,INS,,و
26,INS,,مك
27,SUB,وللغيب,ليغ
28,OK,الذي,الذي
29,SUB,تجهله,تجهيه
30,OK,انت,انت
31,OK,ويعرفه,ويعرفه
32,OK,خصمك,خصمك
33,OK,او,او
34,SUB,يجهله,جهله
35,SUB,هو,هر
36,OK,وتعرفه,وتعرفه
37,OK,انت,انت
38,SUB,وللعيان,وليعلن
39,OK,الذي,الذي
40,OK,يعرفه,يعرفه
41,OK,كل,كل
42,OK,من,من
43,OK,يشاء,يشاء
44,OK,ولها,ولها
45,SUB,قوانين,قرانين
46,SUB,تمنعك,يمنعك
47,OK,ان,ان
48,OK,تتحرك,تتحرك
49,SUB,على,عل
50,SUB,هواك,هالك
51,OK,ولها,ولها
52,OK,حرية,حرية
53,SUB,تمنحك,يمنحك
54,SUB,الخيار,الخبار
55,OK,بين,بين
56,OK,ما,ما
57,SUB,في,فقي
58,OK,يديك,يديك
59,DEL,للمرة,
60,DEL,الخامسة,
61,DEL,او,
62,DEL,فلسفة,
63,DEL,الدومينة,
64,OK,قالت,قالت
65,OK,سارة,سارة
66,OK,يوما,يوما
67,SUB,بعدما,يعد
68,INS,,ما
69,OK,استعادته,استعادته
70,INS,,ه
71,SUB,شرح,ربح
72,INS,,ح
73,INS,,فلسفة
74,INS,,الدوميتةة
75,INS,,المرة
76,INS,,الخامسة
77,INS,,او
78,OK,السادسة,السادسة
79,OK,او,او
80,OK,السابعة,السابعة
81,INS,,ة
82,OK,اولا,اولا
83,OK,تستمتع,تستمتع
84,SUB,بشيء,بشيئ
85,OK,الا,الا
86,OK,ان,ان
87,OK,تكون,تكون
88,OK,له,له
89,OK,فلسفة,فلسفة
90,INS,,ب
91,OK,قال,قال
92,INS,,ل
93,OK,لا,لا
94,INS,,ا
95,OK,بل,بل
96,INS,,انا
97,SUB,استمتع,استوه
98,INS,,ح
99,OK,بالشيء,بالشيء
100,SUB,ثم,م
101,SUB,ابحث,احث
102,OK,عن,عن
103,OK,فلسفته,فلسفته
104,SUB,وانني,واني
105,SUB,لابحث,لاحت
106,OK,عن,عن
107,OK,فلسفته,فلسفته
108,SUB,كما,كا
109,SUB,يجيل,جبل
110,SUB,الشارب,الشارت
111,OK,الكاس,الكاس
112,OK,في,في
113,OK,جميع,جميع
114,OK,جوانب,جوانب
115,SUB,فمه,وه
116,SUB,ولهواته,ويهراته
117,SUB,كي,ك
118,OK,لا,لا
119,SUB,يبقى,يق
120,SUB,جانب,جلا
121,SUB,من,دمن
122,INS,,س
123,SUB,النفس,التف
124,OK,لا,لا
125,OK,ياخذ,ياخذ
126,OK,نصيبه,نصيبه
127,OK,من,من
128,SUB,متاعه,متاعة
129,INS,,ه
130,SUB,فاحسه,واحسه
131,SUB,واعمله,واعله
132,OK,واذكره,واذكره
133,OK,وافكر,وافكر
134,SUB,فيه,فئة
135,SUB,واستقصيمعناه,واستقصي
136,INS,,معناوه
137,OK,وامثال,وامثال
138,SUB,هذه,هذة
139,OK,الاسئلة,الاسئلة
140,OK,كانت,كانت
141,OK,تصدر,تصدر
142,OK,منها,منها
143,SUB,كما,كا
144,OK,يسال,يسال
145,SUB,الصبي,الصي
146,SUB,اباه,اله
147,SUB,الشيخ,الشرخ
148,OK,في,في
149,OK,دالة,دالة
150,SUB,ومحبة,وعوة
151,SUB,او,اوا
152,DEL,كما,
153,OK,يفتش,يفتش
154,OK,المالك,المالك
155,OK,منزلا,منزلا
156,OK,دخله,دخله
157,SUB,واستولى,واستولي
158,OK,عليه,عليه
159,SUB,فراح,وراح
160,OK,يسال,يسال
161,OK,عن,عن
162,OK,كل,كل
163,OK,صغيرة,صغيرة
164,OK,وكبيرة,وكبيرة
165,OK,فيه,فيه
166,SUB,فما,وا
167,OK,كان,كان
168,SUB,في,ف
169,OK,تلك,تلك
170,OK,الاسئلة,الاسئلة
171,OK,فضول,فضول
172,OK,غريب,غريب
173,SUB,ولا,ولااحم
174,DEL,تهجم,
175,OK,واغل,واغل
176,OK,ولكن,ولكن
177,OK,السائل,السائل
178,SUB,والمسئول,والمسؤول
179,OK,عنه,عنه
180,OK,هما,هما
181,OK,جزء,جزء
182,OK,من,من
183,SUB,مكان,مكار
184,OK,واحد,واحد
185,OK,تدور,تدور
186,SUB,عليهما,علما
187,OK,اسواره,اسواره
188,SUB,وتحتويهما,وحتو
189,INS,,مهما
190,SUB,جدرانه,جدراته
191,OK,ويتفقد,ويتفقد
192,SUB,فيه,فو
193,OK,من,من
194,OK,يشاء,يشاء
195,OK,ما,ما
196,OK,يشاء,يشاء
197,OK,ولا,ولا
198,OK,فضول,فضول
199,OK,ولا,ولا
200,SUB,اقتحام,اقتحا
