,operation,one,two
0,SUB,ويجوز,وحاز
1,OK,ايضا,ايضا
2,OK,ان,ان
3,SUB,يكون,يسكون
4,OK,هو,هو
5,INS,,كل
6,OK,المحذور,المحذور
7,OK,وهمام,وهمام
8,OK,وحظه,وحظه
9,SUB,ونصيبه,وتصابويين
10,INS,,الجو
11,SUB,بين,ازين
12,SUB,الجوازين,ن
13,SUB,واليك,واياك
14,OK,المثال,المثال
15,INS,,ل
16,OK,كان,كان
17,SUB,السيد,السد
18,OK,امين,امين
19,OK,في,في
20,OK,احدى,احدى
21,OK,اجازاته,اجازاته
22,OK,القصيرة,القصيرة
23,SUB,ينزل,يذل
24,SUB,بمنزل,تميتل
25,OK,همام,همام
26,OK,ودق,ودق
27,SUB,التليفون,التليفان
28,SUB,عصاري,عصارى
29,OK,يوم,يوم
30,OK,في,في
31,OK,مسالة,مسالة
32,OK,عاجلة,عاجلة
33,SUB,فخف,يقف
34,SUB,همام,هما
35,OK,الى,الى
36,SUB,الخارج,انا
37,OK,واوصى,واوصى
38,SUB,امينا,امنا
39,OK,ان,ان
40,OK,ينتظره,ينتظره
41,SUB,ريثما,راتنا
42,DEL,سارة,
43,OK,يعود,يعود
44,OK,بعد,بعد
45,OK,نصف,نصف
46,OK,ساعة,ساعة
47,OK,وان,وان
48,OK,يستقبل,يستقبل
49,SUB,ضيوفا,ضاو
50,INS,,وا
51,OK,قادمين,قادمين
52,SUB,في,ف
53,OK,هذه,هذه
54,SUB,الاونة,اللونة
55,INS,,و
56,SUB,ويعتذر,يعتذر
57,OK,اليهم,اليهم
58,OK,بعذر,بعذر
59,OK,همام,همام
60,SUB,المفاجئ,المفاجىى
61,INS,,و
62,SUB,ويبلغهم,يبلغهم
63,OK,انه,انه
64,OK,سيرجع,سيرجع
65,SUB,بعد,يعد
66,OK,هنيهة,هنيهة
67,INS,,لية
68,INS,,ضي
69,SUB,ليقضيمعهم,معهم
70,OK,الاصيل,الاصيل
71,SUB,حسب,حس
72,SUB,الموعد,المو
73,INS,,عدد
74,OK,وقد,وقد
75,OK,عاد,عاد
76,SUB,همام,هما
77,SUB,بعد,لهد
78,OK,نصف,نصف
79,OK,الساعة,الساعة
80,SUB,المقدور,المقدار
81,OK,فلا,فلا
82,SUB,امينا,امنا
83,OK,ولا,ولا
84,SUB,ضيوفا,ضاو
85,INS,,وا
86,OK,وجد,وجد
87,SUB,في,ف
88,OK,المنزل,المنزل
89,INS,,ل
90,OK,وكل,وكل
91,DEL,ما,
92,SUB,وجده,ملوحده
93,OK,بطاقات,بطاقات
94,OK,الضيوف,الضيوف
95,OK,في,في
96,OK,عقب,عقب
97,SUB,الباب,السا
98,SUB,عليها,عليا
99,SUB,كلمات,ت
100,INS,,موجزه
101,SUB,تشف,شف
102,OK,عن,عن
103,OK,الاسف,الاسف
104,SUB,والاستغراب,والاستعراب
105,INS,,ـ
106,SUB,ولبث,لت
107,SUB,همام,هما
108,OK,يقدر,يقدر
109,SUB,في,ف
110,OK,ذهنه,ذهنه
111,DEL,ما,
112,SUB,توهمه,ماتوهمه
113,OK,الضيوف,الضيوف
114,OK,من,من
115,SUB,اسباب,اسلت
116,SUB,مغيبه,مغسو
117,OK,المتعمد,المتعمد
118,OK,ولا,ولا
119,OK,مراء,مراء
120,INS,,ء
121,OK,فانه,فانه
122,DEL,لا,
123,SUB,يخرج,لليخرج
124,SUB,في,فى
125,OK,هذه,هذه
126,OK,الساعة,الساعة
127,OK,وليس,وليس
128,OK,للضيوف,للضيوف
129,OK,الا,الا
130,SUB,ان,ار
131,OK,يعتقدوا,يعتقدوا
132,OK,كل,كل
133,SUB,الاعتقاد,الاعتقلد
134,OK,انه,انه
135,OK,راغ,راغ
136,OK,عن,عن
137,OK,الموعد,الموعد
138,OK,او,او
139,SUB,اخفى,اخق
140,SUB,نفسه,نفسة
141,INS,,ور
142,SUB,وتركهم,كهم
143,OK,يرجعون,يرجعون
144,OK,على,على
145,SUB,اعقابهم,اعقابم
146,SUB,مسافة,مساقة
147,SUB,ليست,لست
148,SUB,بالهينة,بلهة
149,OK,ولا,ولا
150,SUB,بالقصيرة,بالقصره
151,SUB,وبينما,وبابا
152,OK,همام,همام
153,SUB,يستغرب,يستعرب
154,SUB,خروج,حرات
155,OK,امين,امين
156,OK,ولا,ولا
157,OK,يدري,يدري
158,OK,ماذا,ماذا
159,SUB,اخرجه,اتزي
160,OK,خاصة,خاصة
161,SUB,في,فى
162,OK,هذا,هذا
163,OK,اليوم,اليوم
164,OK,الذي,الذي
165,OK,سئل,سئل
166,SUB,فيه,فئة
167,OK,الانتظار,الانتظار
168,INS,,ر
169,OK,اقبل,اقبل
170,OK,السيد,السيد
171,OK,امين,امين
172,OK,يحمل,يحمل
173,OK,في,في
174,OK,يديه,يديه
175,SUB,قازوزتين,قازازتان
176,OK,وقليلا,وقليلا
177,OK,من,من
178,SUB,الفاكهة,ايفا
179,INS,,كرهة
180,OK,والحلوى,والحلوى
181,SUB,وهو,وهر
182,SUB,راضعن,راض
183,INS,,ن
184,OK,نفسه,نفسه
185,INS,,رضي
186,SUB,رضىالرجل,الرجل
187,SUB,الضليع,الضيع
188,SUB,بمهام,يلم
189,OK,الامور,الامور
