,operation,one,two
0,SUB,الشكوك,الشكرات
1,OK,من,من
2,SUB,النادر,اينادر
3,OK,جدا,جدا
4,OK,ان,ان
5,SUB,يتواعد,يتواءد
6,SUB,محبان,محيان
7,SUB,على,عل
8,SUB,اللقاء,الاتاء
9,INS,,ء
10,SUB,بعد,رد
11,OK,فراق,فراق
12,SUB,طويل,طو
13,INS,,يل
14,SUB,ثم,م
15,SUB,لا,لاي
16,SUB,يسرعان,علا
17,SUB,الى,ال
18,SUB,موعد,مو
19,INS,,عد
20,OK,اللقاء,اللقاء
21,SUB,بلهفة,دلفة
22,SUB,شديدة,شد
23,INS,,دة
24,SUB,واشتياق,واشتاق
25,DEL,عظيم,
26,DEL,ان,
27,DEL,لم,
28,DEL,يكن,
29,SUB,حبا,ءا
30,SUB,او,اوحتا
31,DEL,حنينا,
32,OK,او,او
33,SUB,رغبة,رشه
34,INS,,و
35,DEL,في,
36,SUB,المتعة,امة
37,SUB,والسرور,والدرار
38,INS,,وها
39,DEL,فعلى,
40,OK,الاقل,الاقل
41,OK,من,من
42,SUB,قبيل,قائل
43,SUB,الفضول,الفضال
44,SUB,والاستطلاع,وللاستطلاع
45,OK,والرغبة,والرغبة
46,OK,الملحة,الملحة
47,OK,عند,عند
48,OK,كل,كل
49,INS,,م
50,SUB,منهما,ما
51,SUB,في,ف
52,OK,الوقوف,الوقوف
53,SUB,على,عل
54,OK,اخبار,اخبار
55,OK,صاحبه,صاحبه
56,SUB,واحواله,واح
57,INS,,اله
58,INS,,اا
59,DEL,في,
60,SUB,الغياب,الذباب
61,SUB,الطويل,الطريل
62,INS,,ل
63,OK,هل,هل
64,SUB,احبت,ا
65,SUB,غيره,حتعيره
66,SUB,وهل,ومل
67,OK,احب,احب
68,OK,غيرها,غيرها
69,SUB,وهل,ارهل
70,SUB,سلت,سل
71,OK,وهل,وهل
72,SUB,سلا,سيا
73,SUB,وبماذا,وماذا
74,OK,يشعران,يشعران
75,OK,في,في
76,INS,,١٥
77,SUB,الحب,لحت
78,OK,الجديد,الجديد
79,OK,او,او
80,OK,ماذا,ماذا
81,SUB,بقي,ب
82,INS,,ب
83,SUB,عندهما,عزدهما
84,OK,من,من
85,OK,الحب,الحب
86,OK,القديم,القديم
87,OK,وماذا,وماذا
88,SUB,تقول,تة
89,INS,,ل
90,OK,له,له
91,SUB,حين,حن
92,SUB,تخلو,خلو
93,SUB,به,ه
94,OK,وماذا,وماذا
95,SUB,يبدر,يددر
96,OK,من,من
97,INS,,د
98,SUB,كلامه,ده
99,DEL,حين,
100,SUB,يخلو,حذيخلو
101,SUB,بها,ا
102,SUB,واشباه,واشراه
103,OK,ذلك,ذلك
104,DEL,من,
105,OK,الاسئلة,الاسئلة
106,SUB,التي,الي
107,SUB,يلقيها,يلقها
108,SUB,كلاهما,تلاقما
109,SUB,على,ع
110,SUB,نفسه,نعسة
111,SUB,ويحسب,و
112,INS,,ت
113,OK,انه,انه
114,INS,,وقى
115,DEL,في,
116,OK,اشد,اشد
117,OK,الحاجة,الحاجة
118,OK,الى,الى
119,SUB,الوقوف,الوقوفا
120,INS,,ح
121,INS,,ث
122,DEL,على,
123,SUB,جوابها,ا
124,INS,,ا
125,INS,,ا
126,SUB,فربما,فر
127,INS,,ما
128,OK,كان,كان
129,SUB,هذا,ها
130,SUB,الفضول,الذضرل
131,OK,من,من
132,SUB,اقوى,اقرى
133,OK,مظاهر,مظاهر
134,SUB,الحب,الي
135,OK,ومن,ومن
136,OK,اوثق,اوثق
137,OK,روابط,روابط
138,OK,الاتصال,الاتصال
139,SUB,بين,رن
140,SUB,كثير,كرر
141,SUB,من,م
142,SUB,الناس,التاس
143,OK,محبين,محبين
144,OK,كانوا,كانوا
145,OK,او,او
146,SUB,غير,شبر
147,SUB,محبين,مان
148,SUB,فاذا,واذا
149,OK,حدث,حدث
150,SUB,غير,غر
151,OK,ذلك,ذلك
152,SUB,واجتهد,ولج
153,SUB,احد,د
154,SUB,العاشقين,احرااما
155,INS,,ا
156,INS,,رن
157,OK,او,او
158,SUB,كلاهما,تلا
159,SUB,في,مماي
160,SUB,اجتناب,ا
161,INS,,ا
162,SUB,الموعد,المو
163,INS,,عد
164,SUB,المنتظر,المنت
165,INS,,ظر
166,SUB,بعد,ديد
167,SUB,طول,طرل
168,SUB,العزلة,الى
169,INS,,اج
170,SUB,والجفاء,والاناء
171,SUB,فلا,ولا
172,SUB,بد,د
173,OK,ان,ان
174,INS,,يعر
175,INS,,ن
176,SUB,يكون,يو
177,INS,,و
178,SUB,بينهما,ما
179,DEL,شبح,
180,DEL,قائم,
181,SUB,من,مج
182,INS,,م
183,SUB,الالام,الايام
184,SUB,والاكدار,والا
185,INS,,كدار
186,SUB,يغطي,انط
187,SUB,على,عل
188,SUB,جميع,جمـ
189,SUB,المشوقات,المث
190,INS,,قلت
191,SUB,والمرغبات,ولم
192,INS,,غات
193,SUB,ويعكس,وامكس
194,SUB,الفضول,القضرل
195,SUB,والاستطلاع,واللتطلاع
196,SUB,فيستحيل,ورتت
197,INS,,ا
198,SUB,الى,ال
199,SUB,صمم,م
200,SUB,ونفور,وذور
201,SUB,ويصبح,ولاعد
