,operation,one,two
0,SUB,مضحكاتالرقابة,محكا
1,INS,,ا
2,INS,,لرناية
3,OK,ترى,ترى
4,OK,لو,لو
5,OK,شهدنا,شهدنا
6,OK,حوادث,حوادث
7,SUB,الحياة,الحلة
8,OK,كلها,كلها
9,OK,دفعة,دفعة
10,OK,واحدة,واحدة
11,OK,هل,هل
12,OK,تصعب,تصعب
13,OK,او,او
14,SUB,تهون,تلون
15,OK,وهل,وهل
16,SUB,يقع,يقح
17,SUB,اثرها,اترها
18,SUB,في,فى
19,SUB,النفس,النذس
20,SUB,فاجعا,واجما
21,INS,,مرهقا
22,OK,او,او
23,OK,مضحكا,مضحكا
24,SUB,سخيفا,خفا
25,SUB,مغريا,مغرا
26,INS,,ا
27,SUB,بالهزء,هزء
28,SUB,والابتسام,والا
29,INS,,بنسا
30,SUB,تشغلنا,تشغلتا
31,SUB,الحادثة,الادثة
32,OK,اياما,اياما
33,SUB,وشهورا,وثورا
34,SUB,فلا,فلاتفكر
35,DEL,نفكر,
36,OK,الا,الا
37,SUB,فيها,فاهل
38,OK,ولا,ولا
39,SUB,نحسب,حست
40,OK,ان,ان
41,SUB,في,ف
42,OK,الدنيا,الدنيا
43,OK,امرا,امرا
44,OK,جديرا,جديرا
45,SUB,بالتفكير,بالتفسكير
46,SUB,والاهتمام,واللهرام
47,OK,غيرها,غيرها
48,OK,ولا,ولا
49,SUB,نظن,تظن
50,OK,اننا,اننا
51,SUB,نطيق,نطق
52,SUB,العيش,العرش
53,SUB,ونصبر,ونصير
54,SUB,على,علي
55,SUB,البقاء,ابقاء
56,OK,لو,لو
57,SUB,تحقق,حقق
58,DEL,ما,
59,SUB,نحذره,اماحذره
60,SUB,منها,مها
61,OK,ولا,ولا
62,SUB,نرضىمن,رضى
63,INS,,من
64,OK,احد,احد
65,OK,ان,ان
66,OK,يستخف,يستخف
67,SUB,بها,بيا
68,SUB,ويستكثر,واستكثر
69,DEL,ما,
70,SUB,نعيره,ماتعاره
71,SUB,اياها,الها
72,OK,من,من
73,SUB,الهم,الم
74,OK,والقلق,والقلق
75,OK,والاهبة,والاهبة
76,SUB,ثم,م
77,OK,تمضي,تمضي
78,OK,الحادثة,الحادثة
79,SUB,وتتبعها,وتنموا
80,SUB,العاقبة,ايعاقة
81,SUB,بعد,لعد
82,SUB,العاقبة,الهلقمة
83,OK,فتصبح,فتصبح
84,SUB,عندنا,عندناه
85,INS,,مج
86,SUB,نحن,للغارنا
87,SUB,لا,ا
88,DEL,غيرنا,
89,OK,تسلية,تسلية
90,OK,نرويها,نرويها
91,OK,ونضحك,ونضحك
92,OK,منها,منها
93,INS,,و
94,SUB,ونتفرج,تتفرج
95,SUB,بها,ب
96,DEL,كما,
97,SUB,نتفرج,لهرج
98,SUB,برؤية,روه
99,SUB,المشاهد,امث
100,INS,,ا
101,INS,,هد
102,SUB,الفنية,الفشة
103,DEL,التي,
104,SUB,تقع,تق
105,INS,,لثخ
106,SUB,لشخوصالمسارح,السا
107,SUB,الخيالية,الخالةة
108,SUB,ترى,ى
109,INS,,وص
110,INS,,ري
111,SUB,لو,او
112,OK,راينا,راينا
113,SUB,الحادثة,الادثة
114,OK,وعاقبتها,وعاقبتها
115,OK,او,او
116,SUB,الحوادث,الوادث
117,SUB,وعواقبها,وءالقاها
118,OK,دفعة,دفعة
119,OK,واحدة,واحدة
120,OK,هل,هل
121,OK,تكون,تكون
122,SUB,كلها,كلوا
123,OK,فاجعة,فاجعة
124,SUB,كما,ا
125,OK,نراها,نراها
126,SUB,في,فى
127,OK,حينها,حينها
128,OK,او,او
129,OK,تكون,تكون
130,OK,كلها,كلها
131,SUB,خفيفة,خفمقة
132,SUB,مسلية,مسلة
133,SUB,كما,ا
134,OK,نراها,نراها
135,SUB,بعد,دددد
136,SUB,فواتها,فوارا
137,SUB,وهل,دول
138,SUB,يكون,يكرن
139,SUB,اجتماع,اتباخ
140,SUB,الحوادث,الرادث
141,SUB,بمثابة,مثابة
142,SUB,الفاجعة,ايفاجعة
143,SUB,تضيفها,تضافوا
144,OK,الى,الى
145,OK,الفاجعة,الفاجعة
146,OK,فلا,فلا
147,OK,تقوى,تقوى
148,OK,النفس,النفس
149,SUB,على,علي
150,SUB,احتمالها,احالا
151,OK,او,او
152,OK,تكون,تكون
153,SUB,بمثابة,مثابة
154,SUB,الشيء,اة
155,SUB,يلغيه,لغة
156,SUB,ما,مالعدة
157,DEL,بعده,
158,SUB,فيطفئ,فيدمي
159,SUB,بردها,ردها
160,OK,حرها,حرها
161,SUB,ويذهب,ويذهبب
162,SUB,قيظها,قاظها
163,SUB,بشتائها,بشتاما
