,operation,one,two
0,INS,,١٣٣
1,OK,قال,قال
2,INS,,ل
3,OK,ان,ان
4,SUB,وعدتني,وعدتي
5,OK,ان,ان
6,SUB,اجني,احني
7,SUB,للصبر,ليصر
8,SUB,ثمرة,بمرة
9,INS,,ة
10,SUB,فانا,وانا
11,SUB,اصبر,اصر
12,OK,من,من
13,OK,ايوب,ايوب
14,INS,,قر
15,SUB,قوليها,لها
16,SUB,كلمة,كلية
17,OK,واحدة,واحدة
18,OK,وانا,وانا
19,OK,لا,لا
20,SUB,اتعجلك,اتعجيلك
21,SUB,شيئا,شيتا
22,SUB,وانصرف,واتصرف
23,SUB,الان,اللذن
24,OK,قالت,قالت
25,INS,,ت
26,OK,وصاحبك,وصاحبك
27,OK,الذي,الذي
28,OK,تسال,تسال
29,OK,عنه,عنه
30,OK,قال,قال
31,INS,,ل
32,OK,ها,ها
33,INS,,ا
34,OK,يلوح,يلوح
35,OK,لي,لي
36,SUB,انني,اتى
37,SUB,اعجبتك,احبتك
38,INS,,ا
39,OK,وانك,وانك
40,SUB,تسبقينني,تستقتي
41,INS,,ى
42,OK,قالت,قالت
43,INS,,ت
44,OK,لولا,لولا
45,OK,انك,انك
46,OK,تمزح,تمزح
47,SUB,لقلت,لقيت
48,INS,,ا
49,SUB,انك,اك
50,INS,,ك
51,SUB,مغرور,مرور
52,SUB,غروركم,شارة
53,SUB,كلكم,كاـ
54,SUB,معشر,معر
55,OK,الرجال,الرجال
56,SUB,لا,ل
57,SUB,تتكلم,لاتتكا
58,OK,الواحدة,الواحدة
59,SUB,كلمتين,كلمتن
60,OK,مع,مع
61,SUB,واحد,واحدمن
62,DEL,منكم,
63,SUB,حتى,ح
64,INS,,ت
65,SUB,يحسبها,يحسها
66,SUB,مجنونة,ووه
67,SUB,بهواه,مواد
68,OK,قال,قال
69,INS,,ل
70,OK,او,او
71,SUB,يحسب,حسب
72,OK,انه,انه
73,SUB,مجنون,يحتان
74,SUB,بهواها,يؤلها
75,OK,قالت,قالت
76,INS,,ت
77,OK,طيب,طيب
78,SUB,ولله,والله
79,INS,,ه
80,OK,لقد,لقد
81,OK,قطعنا,قطعنا
82,SUB,شوطا,شو
83,INS,,طا
84,SUB,بعيدا,نعدا
85,OK,جدا,جدا
86,OK,في,في
87,SUB,نصف,ذصف
88,OK,ساعة,ساعة
89,INS,,ة
90,OK,ولا,ولا
91,SUB,ادري,ادرى
92,OK,ما,ما
93,SUB,خطب,خط
94,INS,,ما
95,INS,,ربانا
96,SUB,سامحها,سلحها
97,SUB,لله,اليه
98,SUB,اين,ان
99,OK,ذهبت,ذهبت
100,INS,,ور
101,INS,,ر
102,SUB,وتركتنا,كتما
103,OK,العلك,العلك
104,SUB,على,عل
105,OK,اتفاق,اتفاق
106,OK,معها,معها
107,OK,ان,ان
108,SUB,تهيئ,تهئي
109,OK,هذا,هذا
110,OK,اللقاء,اللقاء
111,DEL,ماريانا,
112,SUB,ما,ملف
113,DEL,في,
114,OK,ذلك,ذلك
115,OK,من,من
116,SUB,عجب,تحب
117,SUB,فهكذا,وهتكذا
118,SUB,تصنع,تصن
119,SUB,الخائطات,الخائطلت
120,SUB,فيما,فاذا
121,SUB,يقال,يقلل
122,INS,,وستمعت
123,INS,,ت
124,INS,,ماريلنا
125,OK,اسمها,اسمها
126,OK,فعادت,فعادت
127,SUB,تهرول,برو
128,INS,,و
129,INS,,ه
130,INS,,ل
131,SUB,وتتساءل,سا
132,INS,,ل
133,INS,,ل
134,OK,ماذا,ماذا
135,OK,تقولين,تقولين
136,INS,,ى
137,INS,,سه
138,INS,,زة
139,SUB,عني,ع
140,SUB,يا,الا
141,DEL,سارة,
142,DEL,ماريانا,
143,DEL,وسمعت,
144,OK,قال,قال
145,OK,همام,همام
146,INS,,م
147,SUB,انها,ايها
148,SUB,تتهمك,تتهماك
149,OK,بانك,بانك
150,SUB,تدبرين,تدرين
151,OK,عن,عن
152,OK,عمد,عمد
153,SUB,خلوة,خلو
154,INS,,ة
155,OK,غرامية,غرامية
156,OK,بين,بين
157,OK,هذه,هذه
158,SUB,الديكة,الدي
159,OK,وهذه,وهذه
160,SUB,الدجاج,الدجا
161,INS,,ا
162,OK,قالت,قالت
163,SUB,ماريانا,ماريلنا
164,INS,,ا
165,OK,انا,انا
166,SUB,اعلم,اعل
167,SUB,على,عل
168,OK,الاقل,الاقل
169,OK,ان,ان
170,OK,الدجاج,الدجاج
171,OK,لا,لا
172,OK,تحتاج,تحتاج
173,SUB,الى,ال
174,OK,من,من
175,SUB,يدبر,دار
176,OK,لها,لها
177,OK,الخلوة,الخلوة
178,OK,مع,مع
179,SUB,الديكة,ايدياي
180,DEL,كيف,
181,DEL,عرفها,
182,OK,قالت,قالت
183,OK,الفتاة,الفتاة
184,INS,,ة
185,SUB,قاتلك,قلتلك
186,SUB,لله,الله
187,DEL,يا,
188,SUB,عجوز,اتجوز
189,OK,السوء,السوء
190,INS,,ء
191,OK,لماذا,لماذا
192,SUB,تنصلين,تنصيين
193,SUB,من,م
