,operation,one,two
0,INS,,٢٩
1,SUB,الباب,الات
2,OK,وهو,وهو
3,SUB,يظن,يحذن
4,INS,,ف
5,DEL,بل,
6,DEL,يرجو,
7,DEL,ان,
8,DEL,يخبره,
9,DEL,على,
10,SUB,الفور,التاد
11,SUB,ان,ا
12,OK,سيدة,سيدة
13,OK,حضرت,حضرت
14,SUB,في,فق
15,SUB,غيبته,غايتة
16,OK,ولا,ولا
17,OK,تزال,تزال
18,SUB,في,فى
19,OK,انتظاره,انتظاره
20,SUB,ويغلو,واغلو
21,SUB,به,ه
22,OK,هذا,هذا
23,SUB,الوهم,اياه
24,INS,,ك
25,DEL,حتى,
26,OK,يعجل,يعجل
27,SUB,بالالتفات,بالالتفلت
28,OK,الى,الى
29,INS,,ه
30,INS,,م
31,INS,,م
32,DEL,حجرة,
33,SUB,الاستقبال,للاستقبال
34,SUB,ليلقى,لايق
35,OK,السيدة,السيدة
36,SUB,التي,الي
37,SUB,تنتظره,تنتظرة
38,SUB,فيها,وبها
39,OK,ولم,ولم
40,SUB,تمضفي,يمض
41,INS,,ف
42,OK,ذلك,ذلك
43,OK,الا,الا
44,SUB,لمحة,لبحة
45,OK,خاطفة,خاطفة
46,SUB,والخادم,ولخادم
47,SUB,شاخصلا,شاخصرلا
48,OK,ينبس,ينبس
49,SUB,بحركة,بحردة
50,SUB,ولا,لا
51,DEL,يلوح,
52,SUB,عليه,عله
53,SUB,انه,ايا
54,SUB,يحمل,يصل
55,SUB,خبرا,شؤا
56,DEL,من,
57,OK,الاخبار,الاخبار
58,OK,يستحق,يستحق
59,OK,ان,ان
60,SUB,يقال,يقلل
61,INS,,و
62,INS,,ا
63,SUB,ويساوي,واسلوى
64,SUB,تلك,تللك
65,OK,اللهفة,اللهفة
66,SUB,التي,الى
67,OK,تعتلج,تعتلج
68,OK,في,في
69,OK,صدر,صدر
70,OK,صاحبنا,صاحبنا
71,SUB,فاسرع,ا
72,SUB,صاحبنا,ابا
73,SUB,سائلا,لاا
74,OK,الم,الم
75,SUB,تحضرالى,تحضر
76,INS,,الى
77,SUB,هنا,هذا
78,OK,السيدة,السيدة
79,OK,الم,الم
80,OK,تقل,تقل
81,OK,شيئا,شيئا
82,SUB,فقال,وقال
83,OK,الخادم,الخادم
84,INS,,وق
85,DEL,في,
86,OK,فتور,فتور
87,SUB,غريب,عراب
88,INS,,ب
89,SUB,لا,ولا
90,SUB,اعلم,ايد
91,SUB,فانفجر,ا
92,SUB,صاحبنا,ينا
93,SUB,غاضبا,غاضرا
94,INS,,ا
95,SUB,كيف,كف
96,DEL,لا,
97,SUB,تعلم,للتعل
98,OK,الم,الم
99,OK,تكن,تكن
100,SUB,هنا,هذا
101,OK,هل,هل
102,SUB,هي,في
103,OK,اوصتك,اوصتك
104,OK,بان,بان
105,OK,تقول,تقول
106,OK,ذلك,ذلك
107,OK,قال,قال
108,OK,الخادم,الخادم
109,DEL,وفي,
110,SUB,صوته,وقاصاته
111,SUB,احتجاج,اتيحاج
112,OK,من,من
113,OK,يستغرب,يستغرب
114,OK,ولا,ولا
115,OK,يفقه,يفقه
116,OK,معنى,معنى
117,OK,هذا,هذا
118,OK,الاتهام,الاتهام
119,INS,,م
120,DEL,يا,
121,SUB,سيدي,ياسيدي
122,OK,قلت,قلت
123,INS,,لاك
124,OK,لا,لا
125,SUB,اعلم,اعل
126,OK,لانك,لانك
127,OK,نزلت,نزلت
128,OK,من,من
129,SUB,هنا,هذا
130,OK,وانا,وانا
131,OK,نزلت,نزلت
132,OK,وراءك,وراءك
133,SUB,حسب,ح
134,OK,المعتاد,المعتاد
135,SUB,في,فى
136,SUB,سائر,سار
137,SUB,الايام,الارام
138,INS,,واث
139,SUB,فاشتعل,تحل
140,SUB,صاحبنا,صاحمنا
141,OK,غيظا,غيظا
142,SUB,وهم,وم
143,SUB,ان,ار
144,SUB,ينقض,ينهض
145,SUB,عليه,علة
146,OK,لولا,لولا
147,OK,ان,ان
148,OK,هرب,هرب
149,SUB,الرجل,الحل
150,OK,من,من
151,OK,امامه,امامه
152,SUB,فتبعه,فتعة
153,SUB,الى,ال
154,INS,,ل
155,SUB,باب,لب
156,OK,الخدم,الخدم
157,OK,وهو,وهو
158,OK,يعلنه,يعلنه
159,OK,بالطرد,بالطرد
160,OK,والا,والا
161,OK,يعود,يعود
162,SUB,ليريه,ليرة
163,SUB,وجهه,وجوه
164,OK,مرة,مرة
165,OK,اخرى,اخرى
166,INS,,ى
167,SUB,ولم,ولد
168,SUB,يصفح,يص
169,OK,عنه,عنه
170,OK,الا,الا
171,SUB,بعد,لعد
172,SUB,ثلاثة,ثايا
173,INS,,نة
174,SUB,ايام,ايا
175,INS,,م
176,SUB,وبعد,ويمد
177,OK,ان,ان
178,SUB,شفع,شه
179,OK,له,له
180,OK,ان,ان
181,OK,الرجل,الرجل
182,OK,معذور,معذور
183,OK,لانه,لانه
184,OK,لم,لم
185,OK,يامره,يامره
186,SUB,بالبقاء,البقاء
187,SUB,في,ف
188,SUB,المنزل,المزل
189,OK,وقد,وقد
190,OK,انساه,انساه
191,OK,ان,ان
192,SUB,يامره,ياسه
193,SUB,بالبقاء,بالمقاء
194,OK,فيه,فيه
195,OK,ما,ما
196,OK,كان,كان
197,OK,مشغولا,مشغولا
198,OK,به,به
199,SUB,من,دن
200,OK,حوار,حوار
