,operation,one,two
0,DEL,من,
1,DEL,تحفه,
2,SUB,الماثورات,الماورات
3,SUB,وبالغوا,واللغوا
4,SUB,في,فى
5,OK,الالحاح,الالحاح
6,SUB,يومئذ,يومثذ
7,SUB,لينظروا,ليذظروا
8,SUB,بماذا,علذا
9,SUB,يتجلى,يتحل
10,OK,عليه,عليه
11,SUB,السهو,السبو
12,OK,المبارك,المبارك
13,OK,بعد,بعد
14,OK,تلك,تلك
15,SUB,السهوات,السااات
16,SUB,الالمعيات,الالممالت
17,SUB,فلم,فل
18,OK,يخلف,يخلف
19,SUB,ظنونهم,ظنو
20,INS,,هم
21,OK,اخر,اخر
22,SUB,الامر,الام
23,SUB,فتكلم,وتكله
24,SUB,وكان,وكارز
25,OK,ما,ما
26,OK,قال,قال
27,OK,بيت,بيت
28,OK,القصيد,القصيد
29,OK,واية,واية
30,SUB,الايات,ايابات
31,SUB,في,ف
32,OK,ذلك,ذلك
33,SUB,اليوم,الية
34,INS,,م
35,SUB,الخصيب,الخصاب
36,INS,,ب
37,DEL,سارة,
38,OK,انقلب,انقلب
39,OK,من,من
40,OK,الدفاع,الدفاع
41,OK,الى,الى
42,SUB,الهجوم,الحوم
43,OK,وقال,وقال
44,SUB,لهم,م
45,INS,,ه
46,SUB,مستجمعا,تجمعا
47,SUB,سكينته,سنته
48,SUB,واعتداده,واعتدادة
49,INS,,ه
50,SUB,تترقبون,ترقبان
51,OK,الوف,الوف
52,SUB,الجنيهات,الجزاهات
53,INS,,ت
54,OK,تريدون,تريدون
55,OK,ان,ان
56,SUB,تكسبوا,تكسوا
57,INS,,ا
58,SUB,وهل,دول
59,SUB,انتم,ان
60,SUB,وجه,واه
61,SUB,مكسب,يكسب
62,SUB,لله,ايه
63,SUB,لا,للركك
64,DEL,يكسبكم,
65,SUB,انني,اتى
66,OK,تعمدت,تعمدت
67,SUB,ان,الا
68,SUB,اجيئكم,احبهج
69,SUB,بالارقام,الارقام
70,OK,واكتفيت,واكتفيت
71,OK,بما,بما
72,SUB,اذكر,اذ
73,INS,,ر
74,OK,من,من
75,INS,,ر
76,INS,,ج
77,SUB,ارقام,اقا
78,SUB,الاستاذ,الاسان
79,OK,همام,همام
80,SUB,وارقامي,وارقاي
81,OK,ولم,ولم
82,OK,احفل,احفل
83,DEL,بما,
84,SUB,عدا,ماعدا
85,OK,ذلك,ذلك
86,INS,,ك
87,OK,وهل,وهل
88,SUB,كنتم,كن
89,OK,من,من
90,SUB,البلاهة,الاللهة
91,OK,والغفلة,والغفلة
92,SUB,حيث,بحتى
93,SUB,تحسبون,حسبان
94,SUB,انني,اتى
95,OK,اراجع,اراجع
96,INS,,اـك
97,DEL,لكم,
98,SUB,ارقامكم,ارقام
99,SUB,ومكاسبكم,ومكاسيك
100,INS,,لا
101,SUB,لاكسب,كسب
102,SUB,منكم,مد
103,OK,هذا,هذا
104,SUB,الهراء,الهرائ
105,OK,الذي,الذي
106,OK,لا,لا
107,OK,تفلحون,تفلحون
108,SUB,في,ف
109,SUB,غيره,غارة
110,INS,,ه
111,SUB,ويلاحظ,والاحظ
112,OK,انه,انه
113,OK,لم,لم
114,SUB,يختلق,ختلي
115,OK,هذه,هذه
116,OK,المعذرة,المعذرة
117,OK,الا,الا
118,SUB,بعد,دعد
119,OK,ما,ما
120,OK,حصل,حصل
121,SUB,الصحاب,الصحات
122,OK,على,على
123,OK,الكشف,الكشف
124,SUB,وراجعوا,وراجعااا
125,SUB,الارقام,ر
126,INS,,م
127,SUB,ويئسوا,واسو
128,INS,,ب
129,DEL,جميعا,
130,DEL,من,
131,SUB,الارباح,الارياح
132,OK,ولم,ولم
133,SUB,يختلقها,ختلقها
134,OK,قبل,قبل
135,OK,ذلك,ذلك
136,OK,مخافة,مخافة
137,OK,ان,ان
138,SUB,يكذبه,يكنه
139,OK,الواقع,الواقع
140,OK,عند,عند
141,SUB,مراجعة,مراحمة
142,SUB,الكشف,الـكثرف
143,SUB,فيسقط,وسقط
144,INS,,ق
145,DEL,في,
146,SUB,يديه,ديه
147,OK,الا,الا
148,SUB,انهم,ايهم
149,OK,لم,لم
150,SUB,يتركوه,يتركوة
151,DEL,ينعم,
152,SUB,باكذوبته,ينوياكذوبته
153,OK,المهلهلة,المهلهلة
154,SUB,التي,الي
155,OK,ساقه,ساقه
156,SUB,اليها,ايما
157,SUB,الحرج,الجرح
158,SUB,والنكاية,والذكائة
159,OK,والمزاح,والمزاح
160,OK,وراحوا,وراحوا
161,OK,يقولون,يقولون
162,OK,له,له
163,SUB,بعدما,بعد
164,INS,,ما
165,SUB,اوسعوه,اوسعاة
166,SUB,سخرا,خرا
167,SUB,واشبعوه,واتعاه
168,OK,هذرا,هذرا
169,SUB,يا,ا
170,SUB,مكابر,بامكار
171,SUB,اتذكر,اتذ
172,INS,,كر
173,OK,سبعين,سبعين
174,SUB,نمرة,بمرة
175,SUB,بين,بن
176,SUB,كبيرة,كابرة
177,SUB,وصغيرة,وصعبره
178,SUB,قراتها,ا
179,OK,منذ,منذ
180,OK,ايام,ايام
181,OK,ولا,ولا
182,OK,تذكر,تذكر
183,SUB,نمرا,تمرا
184,OK,اربعا,اربعا
185,OK,قراتها,قراتها
186,SUB,منذ,متذ
187,OK,دقائق,دقائق
188,SUB,طيب,ط
189,INS,,ط
