,operation,one,two
0,INS,,٤
1,INS,,٤
2,DEL,الرقابة,
3,OK,ليست,ليست
4,OK,هي,هي
5,OK,المراة,المراة
6,SUB,المسموعة,المسماعة
7,SUB,هنا,هذا
8,SUB,ولكنها,ويسكنها
9,SUB,هي,هى
10,OK,الطبيعة,الطبيعة
11,OK,والمراة,والمراة
12,SUB,والرجل,وللرجل
13,SUB,والحكماء,وللحكاء
14,SUB,والحكمة,والحكة
15,SUB,العوبة,العاة
16,SUB,الطبيعة,ايطايعة
17,OK,التي,التي
18,OK,لا,لا
19,SUB,تسام,تساة
20,OK,اللعب,اللعب
21,OK,ولا,ولا
22,OK,تعرف,تعرف
23,SUB,الجد,الجدة
24,SUB,لانها,لاها
25,DEL,لا,
26,SUB,تعرف,لاتعرف
27,SUB,التعب,اتعب
28,INS,,ب
29,OK,وربما,وربما
30,OK,كانت,كانت
31,OK,المراة,المراة
32,OK,اضعف,اضعف
33,OK,هذه,هذه
34,SUB,الالاعيب,الاللعاب
35,SUB,كما,كا
36,OK,يكون,يكون
37,SUB,الطعم,الطم
38,OK,اضعف,اضعف
39,OK,من,من
40,OK,السمكة,السمكة
41,SUB,التي,الي
42,INS,,تا
43,SUB,تاكله,كله
44,OK,وان,وان
45,OK,كان,كان
46,SUB,الطعم,ايطع
47,SUB,ليقودن,لبقو
48,INS,,دنن
49,SUB,السمكة,السمك
50,OK,الى,الى
51,OK,الهلاك,الهلاك
52,OK,ومن,ومن
53,INS,,م
54,INS,,القا
55,SUB,القاضيالفاصل,ايفاصل
56,SUB,بين,يئن
57,OK,الطبيعة,الطبيعة
58,SUB,والحكمة,وللحكة
59,SUB,انما,اما
60,OK,القضاء,القضاء
61,OK,لمن,لمن
62,OK,ينتظر,ينتظر
63,SUB,منهما,متهما
64,OK,الحجة,الحجة
65,SUB,الاخيرة,الاخبرة
66,SUB,والنتيجة,والتذبحة
67,OK,الخاتمة,الخاتمة
68,INS,,ة
69,SUB,ولكن,ويـكن
70,SUB,ليس,لبس
71,OK,للطبيعة,للطبيعة
72,SUB,انتهاء,انتهاا
73,INS,,قوى
74,DEL,فهي,
75,SUB,في,ف
76,SUB,جميع,جاع
77,OK,الازمان,الازمان
78,OK,صاحبة,صاحبة
79,SUB,القول,ايقول
80,SUB,الاخير,الاخبر
81,OK,في,في
82,OK,ملحمة,ملحمة
83,OK,الصراع,الصراع
84,SUB,بين,يبن
85,OK,الفتنة,الفتنة
86,SUB,والحجى,والحجي
87,INS,,ينسى
88,SUB,ينسىالانسان,الانسان
89,SUB,ما,مالا
90,DEL,لا,
91,OK,ينسى,ينسى
92,SUB,ويخطر,وخطر
93,SUB,له,لة
94,OK,الاغضاء,الاغضاء
95,SUB,عما,ا
96,OK,يشهده,يشهده
97,SUB,بعينيه,يعانيه
98,INS,,و
99,SUB,ويثبته,يثبته
100,OK,ببرهانه,ببرهانه
101,OK,ولقد,ولقد
102,SUB,خطر,خما
103,OK,هذا,هذا
104,OK,لهمام,لهمام
105,SUB,في,ف
106,OK,تلك,تلك
107,OK,اللحظة,اللحظة
108,OK,ووسوس,ووسوس
109,OK,له,له
110,SUB,الهوى,اياي
111,OK,ان,ان
112,OK,ينزل,ينزل
113,OK,بتلك,بتلك
114,OK,المراة,المراة
115,SUB,الماثلة,الماثية
116,OK,امامه,امامه
117,OK,الى,الى
118,SUB,حيث,حيت
119,INS,,يناي
120,SUB,ينسىخيانتها,خيانتها
121,OK,ولا,ولا
122,OK,يذكر,يذكر
123,OK,الا,الا
124,SUB,متعتها,متعتهاا
125,SUB,فتمنى,وتمني
126,OK,في,في
127,OK,تلك,تلك
128,SUB,اللحظة,اللسفلة
129,OK,امنية,امنية
130,SUB,غريبة,غربية
131,INS,,ه
132,SUB,تمنى,يمني
133,DEL,لو,
134,SUB,كان,اوكان
135,OK,حبه,حبه
136,OK,لها,لها
137,SUB,امل,اقل
138,OK,وماضيه,وماضيه
139,OK,معها,معها
140,OK,اقصر,اقصر
141,OK,وشرطه,وشرطه
142,OK,عليها,عليها
143,OK,اقرب,اقرب
144,OK,وايسر,وايسر
145,INS,,ر
146,OK,اذن,اذن
147,INS,,لا
148,SUB,لاكتفي,كتفق
149,SUB,منها,مها
150,SUB,بما,ما
151,SUB,تعطيه,تعطية
152,OK,واستبقاها,واستبقاها
153,SUB,على,عل
154,OK,شرطها,شرطها
155,OK,ومرامها,ومرامها
156,DEL,لا,
157,SUB,على,لاعلى
158,SUB,شرطه,شرطة
159,SUB,ومرامه,ومرامة
160,OK,ان,ان
161,SUB,الرجل,الر
162,INS,,جل
163,OK,الذي,الذي
164,SUB,يهب,ياب
165,SUB,للمراة,امراة
166,SUB,ساعة,سلعة
167,SUB,من,مرى
168,OK,يومه,يومه
169,SUB,يكتفي,يكتؤ
170,OK,منها,منها
171,SUB,بساعة,يساعة
172,OK,من,من
173,SUB,يومها,يؤمها
174,OK,ولكن,ولكن
175,OK,هل,هل
176,SUB,يكتفي,يكتف
177,SUB,منها,مها
178,OK,بتلك,بتلك
179,OK,الساعة,الساعة
180,OK,وهو,وهو
181,OK,يهب,يهب
182,SUB,لها,ها
183,OK,ساعاته,ساعاته
184,SUB,وايامه,واياما
185,SUB,وينسج,وياسي
186,INS,,ر
187,INS,,ر
188,DEL,حولها,
189,SUB,ماضيه,ماضه
190,SUB,وحاضره,وحاضرة
191,SUB,ويحجب,و
192,SUB,بيديه,تسدية
